url,brand,slug,priceCurrency,price,title,description,right-side-img,left-side-img,front-both-img
https://www.highsnobiety.com/en-us/shop/product/hoka-bondi-8-olive-haze,HOKA,hoka-bondi-8-olive-haze,USD,185.0,HOKA – Bondi 8 Olive Haze,"A HOKA mainstay, the Bondi is back in its eighth iteration, reworked with softer, lighter foams and an all-new extended heel. The sneaker is designed for everyday use, whether walking, running, or wearing casually, featuring a breathable engineered mesh upper and a rear crash pad that delivers an incredibly soft and balanced ride. The Durabrasion rubber outsole is then engineered with zonal rubber placements to reduce the overall weight of the shoe. Arriving in a neutral olive haze colorway with light green accents, you’re sure to reach for the new Bondi 8 over and over again.",data/highsnobiety/HOKA/hoka-bondi-8-olive-haze-right-side-img.jpg,data/highsnobiety/HOKA/hoka-bondi-8-olive-haze-left-side-img.jpg,data/highsnobiety/HOKA/hoka-bondi-8-olive-haze-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/hoka-bondi-8-black-black,HOKA,hoka-bondi-8-black-black,USD,185.0,HOKA – Bondi 8 Black/Black,"A HOKA mainstay, the Bondi is back in its eighth iteration, reworked with softer, lighter foams and an all-new extended heel. The sneaker is designed for everyday use, whether walking, running, or wearing casually, featuring a breathable engineered mesh upper and a rear crash pad that delivers an incredibly soft and balanced ride. The Durabrasion rubber outsole is then engineered with zonal rubber placements to reduce the overall weight of the shoe. ",data/highsnobiety/HOKA/hoka-bondi-8-black-black-right-side-img.jpg,data/highsnobiety/HOKA/hoka-bondi-8-black-black-left-side-img.jpg,data/highsnobiety/HOKA/hoka-bondi-8-black-black-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/hoka-restore-tc-black,HOKA,hoka-restore-tc-black,USD,130.0,HOKA – Restore TC Black,"With a fluid slip-on design, HOKA’s Restore TC is here to make your run a walk in the park. The sneaker is best suited for recovery and is engineered with a breathable jacquard mesh upper that’s made in part from renewable materials. The three-part construction is finished with a protective EVA toecap, a generous plush midsole, and an extended heel pull for easy entry. ",data/highsnobiety/HOKA/hoka-restore-tc-black-right-side-img.jpg,data/highsnobiety/HOKA/hoka-restore-tc-black-left-side-img.jpg,data/highsnobiety/HOKA/hoka-restore-tc-black-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/new-balance-m2002rdq-sandstone,New Balance,new-balance-m2002rdq-sandstone,USD,170.0,New Balance – M2002RDQ Sandstone,"With sleek new colorways and refined details, New Balance continues to outdo itself with its remastered 2002R.  The mixed-material upper of the original 2002 is still in play, paired with the sole unit of the 860v2. Sleek curves and strategically placed cutouts give the 2002R a more futuristic look, while it retains classic New Balance details. A lifestyle shoe, the 2002R is equipped with the brand’s ABZORB cushioning in the midsole and N-ergy shock absorbing outsole for comfort amid all-day wear.",data/highsnobiety/New Balance/new-balance-m2002rdq-sandstone-right-side-img.jpg,data/highsnobiety/New Balance/new-balance-m2002rdq-sandstone-left-side-img.jpg,data/highsnobiety/New Balance/new-balance-m2002rdq-sandstone-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/new-balance-m2002rdn-dark-moss,New Balance,new-balance-m2002rdn-dark-moss,USD,170.0,New Balance – 2002R DN Dark Moss,"With sleek new colorways and refined details, New Balance continues to outdo itself with its remastered 2002R.  The mixed-material upper of the original 2002 is still in play, paired with the sole unit of the 860v2. Sleek curves and strategically placed cutouts give the 2002R a more futuristic look, while it retains classic New Balance details. A lifestyle shoe, the 2002R is equipped with the brand’s ABZORB cushioning in the midsole and N-ergy shock absorbing outsole for comfort amid all-day wear.",data/highsnobiety/New Balance/new-balance-m2002rdn-dark-moss-right-side-img.jpg,data/highsnobiety/New Balance/new-balance-m2002rdn-dark-moss-left-side-img.jpg,data/highsnobiety/New Balance/new-balance-m2002rdn-dark-moss-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/new-balance-ml610xa-team-away-grey,New Balance,new-balance-ml610xa-team-away-grey,USD,180.0,New Balance – ML610XA Team Away Grey,"The 610v1 is poised to be the next big New Balance sneaker. Drawing from 2000s trail running shoes, the buzzworthy silhouette is right at home on dirt trails and city streets alike. The upper is executed in a combination of suede overlays and breathable mesh to deliver versatility and comfort. C-CAP cushioning in the midsole then provides underfoot support when you need it most.",data/highsnobiety/New Balance/new-balance-ml610xa-team-away-grey-right-side-img.jpg,data/highsnobiety/New Balance/new-balance-ml610xa-team-away-grey-left-side-img.jpg,data/highsnobiety/New Balance/new-balance-ml610xa-team-away-grey-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/salomon-xt-quest-2-falcon-cement-bright-green,Salomon,salomon-xt-quest-2-falcon-cement-bright-green,USD,205.0,Salomon – XT-QUEST 2 Falcon/Cement/Bright Green,"Showcasing an early 2000s aesthetic, the XT-Quest 2 Advanced is a hybrid design that pays homage to the past and simultaneously incorporates technical innovations of the present day. Like many Salomon silhouettes, the shoe draws heavily from traditional hiking styles, featuring a durable yet breathable upper with a protective toe cap, as well as a bottom unit that prioritizes traction on varying terrain.",data/highsnobiety/Salomon/salomon-xt-quest-2-falcon-cement-bright-green-right-side-img.jpg,data/highsnobiety/Salomon/salomon-xt-quest-2-falcon-cement-bright-green-left-side-img.jpg,data/highsnobiety/Salomon/salomon-xt-quest-2-falcon-cement-bright-green-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/salomon-acs-pro-pewter-monument-aegean-blue,Salomon,salomon-acs-pro-pewter-monument-aegean-blue,USD,215.0,Salomon – ACS PRO Pewter/Monument/Aegean Blue,"Salomon’s ACS Pro takes us back to the early 2000s. Coming from the brand’s Advanced line, the shoe may look familiar to some — that’s because it’s designed as a retro release of the decades-old GCS Pro. The new and improved silhouette draws heavily from Salomon’s archetypal technical footwear, all while boasting functional, modernized upgrades that have it primed and ready for daily wear. The trainer’s synthetic and mesh upper is outfitted with strategically placed openings on both sides to optimize airflow, as the brand’s signature Agile Chassis System is implemented to help stabilize your stride each step of the way. Other familiar Salomon details include speed laces and a Contagrip rubber outsole that enhances grip.",data/highsnobiety/Salomon/salomon-acs-pro-pewter-monument-aegean-blue-right-side-img.jpg,data/highsnobiety/Salomon/salomon-acs-pro-pewter-monument-aegean-blue-left-side-img.jpg,data/highsnobiety/Salomon/salomon-acs-pro-pewter-monument-aegean-blue-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/adidas-gazelle-core-black-gum,Adidas,adidas-gazelle-core-black-gum,USD,130.0,Adidas – Gazelle Core Black/Gum,"The Gazelle is a longtime adidas favorite, worn by soccer fans in the ‘60s, skaters in the ‘70s, and on to indie musicians in the ‘90s. A true brand staple, the silhouette remains in high demand to this day, as it continues to be offered in a slew of enticing color options. This particular iteration is made with the same materials, proportions, and textures as the original. The shoe’s soft textile and leather upper is contrasted with serrated Three Stripes branding, implemented alongside the classic T-toe to ensure the model retains its timeless appeal.",data/highsnobiety/Adidas/adidas-gazelle-core-black-gum-right-side-img.jpg,data/highsnobiety/Adidas/adidas-gazelle-core-black-gum-left-side-img.jpg,data/highsnobiety/Adidas/adidas-gazelle-core-black-gum-front-both-img.jpg
https://www.highsnobiety.com/en-us/shop/product/converse-one-star-pro-ltd-ox-berlin-pink,Converse,converse-one-star-pro-ltd-ox-berlin-pink,USD,110.0,Converse – One Star Pro Berlin Black/Pink,"An iconic Converse silhouette since 1974, the new One Star Pro Berlin arrives as part of Converse's city edition series with an updated colorway that draws inpiration from the capital city. The pair is detailed in a black suede upper with contrast stitching throughout and features a neon pink toe bumper and Berlin embroidered at the heel. The signature star is of course present on each side in the form of a detailed cut-out while the pair is finished with a CX foam sockliner for all-day comfort. ",data/highsnobiety/Converse/converse-one-star-pro-ltd-ox-berlin-pink-right-side-img.jpg,data/highsnobiety/Converse/converse-one-star-pro-ltd-ox-berlin-pink-left-side-img.jpg,data/highsnobiety/Converse/converse-one-star-pro-ltd-ox-berlin-pink-front-both-img.jpg
