brand,description,pricecurrency,price,title,collection_name,collection_url,url,images_dir,s3_dir
Nike,"- Nike Air Huarache Runner ""Cargo Khaki White Medium Olive Sequoia""- Colour: Green / White- Stijlcode: DZ3306-300",EUR,99.95,Huarache Runner Cargo,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/air-huarache-runner-cargo-khaki-white-medium-olive-sequoia,data/raw/sneakerbaas/category-men/images/nike/huarache runner cargo,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/nike/huarache runner cargo
Nike,"- Nike Air Huarache ""Black/Black-Anthracite""- Colour:  Black- Stijlcode: DD1068-002",EUR,129.99,Air Huarache All Black,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/nike-air-huarache-black-black-anthracite,data/raw/sneakerbaas/category-men/images/nike/air huarache all black,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/nike/air huarache all black
Saucony,"- Saucony ProGrid Triumph 9 ""Black / Grey""- Colour: Grey / Black / White- Stijlcode: S70740-7",EUR,174.95,ProGrid Triumph 9 Grey,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/progrid-triumph-9-black-grey,data/raw/sneakerbaas/category-men/images/saucony/progrid triumph 9 grey,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/saucony/progrid triumph 9 grey
Nike,"- Nike Air Max 95 ""Ice Blue""- Colour: Grey / Black / Blue- Stijlcode: DM0011-011",EUR,189.95,Air Max 95 Ice Blue,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/air-max-95-rugged-orange,data/raw/sneakerbaas/category-men/images/nike/air max 95 ice blue,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/nike/air max 95 ice blue
Nike,"- Nike Air Pegasus '89 ""Phantom Black Cargo Khaki""- Colour: Green / Orange / White- Stijlcode: FB8900-001",EUR,119.99,Air Pegasus 89 Cargo,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/air-pegasus-89-phantom-black-cargo-khaki,data/raw/sneakerbaas/category-men/images/nike/air pegasus 89 cargo,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/nike/air pegasus 89 cargo
Nike,- Nike Blazer Phantom Mid - Colour: White / Black- Stijlcode: DX5800-100,EUR,109.95,Blazer Phantom Summit White,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/blazer-phantom-mid-white-black-summit-white-phantom,data/raw/sneakerbaas/category-men/images/nike/blazer phantom summit white,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/nike/blazer phantom summit white
Mizuno,"- Mizuno Sky Medal ""Yellow Navy"" - Colour: Yellow / Blue / White- Stijlcode: D1GA2279-04",EUR,149.95,Sky Medal Yellow Navy,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/sky-medal-chaitea,data/raw/sneakerbaas/category-men/images/mizuno/sky medal yellow navy,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/mizuno/sky medal yellow navy
Karhu,"- Karhu Fusion XC ""Dark Forest""- Colour: Grey / Blue / Green- Stijlcode: F830007",EUR,169.95,Fusion XC Dark Forest,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/fusion-xc-dark-forest,data/raw/sneakerbaas/category-men/images/karhu/fusion xc dark forest,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/karhu/fusion xc dark forest
Mizuno,"- Wave Rider β ""Nomad""- Colour: Grey / Cream / Beige- Stijlcode: D1GA235601",EUR,179.95,Wave Rider β Nomad,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/wave-rider-beta-kizuna,data/raw/sneakerbaas/category-men/images/mizuno/wave rider β nomad,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/mizuno/wave rider β nomad
Nike,"- Nike Zoom Fly 5 ""Black""- Colour: Black / White- Stijlcode: DM8968-001",EUR,169.95,Zoom Fly 5 Black,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/zoom-fly-5-black,data/raw/sneakerbaas/category-men/images/nike/zoom fly 5 black,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/nike/zoom fly 5 black
Nike,"- Nike Air Huarache Runner ""Summit White Metallic Silver""- Colour: White / Cream- Stijlcode: DZ3306-100",EUR,139.99,Huarache Runner White,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/air-huarache-runner-summit-white-metallic-silver,data/raw/sneakerbaas/category-men/images/nike/huarache runner white,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/nike/huarache runner white
Mizuno,"- Mizuno Contender ""Urban Chic""- Colour: Grey / Yellow / Cream- Stijlcode: D1GA2382-03",EUR,129.95,Contender Urban Chic,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/contender-urban-chic,data/raw/sneakerbaas/category-men/images/mizuno/contender urban chic,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/mizuno/contender urban chic
Saucony,"- Saucony Shadow 6000 ""Brown / White""- Colour: Brown / Beige / White- Stijlcode: S70775-1",EUR,154.95,Shadow 6000 Coffee,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/shadow-6000-brown-white,data/raw/sneakerbaas/category-men/images/saucony/shadow 6000 coffee,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/saucony/shadow 6000 coffee
Sergio Tacchini,"- Sergio Tacchini Y2K Runner ""White""- Colour: White / Silver / Black- Stijlcode: TSTU0014S_U023 3522",EUR,119.95,Y2K Runner White,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/y2k-runner-white,data/raw/sneakerbaas/category-men/images/sergio tacchini/y2k runner white,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/sergio tacchini/y2k runner white
Vans,"- Vans Knu School ""Black""- Colour: Black / White- Stijlcode: VN0009QC6BT1",EUR,119.95,Knu School Black,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/knu-school-black,data/raw/sneakerbaas/category-men/images/vans/knu school black,s3://sneakers-ml/data/raw/sneakerbaas/category-men/images/vans/knu school black
