brand,description,pricecurrency,price,title,collection_name,collection_url,url,images_dir,s3_dir
Warrior,,EUR,29.99,Suede Rubber Grey,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/suede-rubber-grey,data/raw/sneakerbaas/category-unisex/images/warrior/suede rubber grey,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/warrior/suede rubber grey
Karhu,"- Karhu Fusion 2.0 ""Silver Red""- Colour: Beige / Grey / Multicolor- Stijlcode: F804158 *These shoes run small, we recommend taking one size larger*",EUR,149.95,Fusion 2.0 Silver Red,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/fusion-2-0-silver-red,data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 silver red,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 silver red
Merrell,"- Merrel Moab Speed GTX ""Black""- Colour: Black- Stijlcode: J037766",EUR,129.95,Moab Speed GTX Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/moab-speed-gtx-black,data/raw/sneakerbaas/category-unisex/images/merrell/moab speed gtx black,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/merrell/moab speed gtx black
Karhu,"- Karhu Legacy 96 ""India Ink""- Colour: Blue / Green / Yellow- Stijlcode: F806054",EUR,139.95,Legacy 96 India Ink,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/legacy-96-india-ink,data/raw/sneakerbaas/category-unisex/images/karhu/legacy 96 india ink,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/legacy 96 india ink
Nike,"- Nike Air Max 95 ""VAST GREY/RED STARDUST-COOL GREY""- Colour: White/Blue/Pink- Stijlcode: DM0011-008",EUR,149.99,Air Max 95 Vast Grey,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/air-max-95-vast-grey-red-stardust-cool-grey,data/raw/sneakerbaas/category-unisex/images/nike/air max 95 vast grey,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/nike/air max 95 vast grey
Etonic,"- Etonic STABLE BASE NEW CREMISI ""Cremisi""- Colour: White / Grey / Red- Stijlcode: ETM323602/01",EUR,119.95,Stable Base Cremisi,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/stable-base-new-cremisi-cremisi,data/raw/sneakerbaas/category-unisex/images/etonic/stable base cremisi,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/stable base cremisi
adidas Originals,"- adidas Originals Gazelle Indoor W ""Bold Orange""- Colour: Orange / White- Stijlcode: HQ8718",EUR,129.95,Gazelle Indoor Orange,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/gazelle-indoor-w-bold-orange,data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle indoor orange,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle indoor orange
adidas Originals,"- adidas Originals Gazelle ""Burgundy""- Colour: Burgundy / White / Black- Stijlcode: IG4990",EUR,129.95,Gazelle Burgundy,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/gazelle-burgundy,data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle burgundy,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle burgundy
Etonic,"- Etonic STABLE BASE NEW PINE ""Pine""- Colour: White / Grey / Green- Stijlcode: ETM323602/03",EUR,119.95,Stable Base Pine,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/stable-base-new-pine-pine-1,data/raw/sneakerbaas/category-unisex/images/etonic/stable base pine,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/stable base pine
Nike,,EUR,99.99,Air Max 95 Black Pearl,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/air-max-95-black-pearl-1,data/raw/sneakerbaas/category-unisex/images/nike/air max 95 black pearl,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/nike/air max 95 black pearl
Mizuno,"- Mizuno Contender ""Blue Surf""- Colour: White / Cream / Red- Stijlcode: D1GA2378-01",EUR,129.95,Contender Blue Surf,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/contenderu-blue-surf,data/raw/sneakerbaas/category-unisex/images/mizuno/contender blue surf,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/mizuno/contender blue surf
Mizuno,"- Mizuno Contender ""Graystone""- Colour: Grey / White / Blue- Stijlcode: D1GA2382-02",EUR,129.95,Contender Graystone,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/contenderu-graystone,data/raw/sneakerbaas/category-unisex/images/mizuno/contender graystone,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/mizuno/contender graystone
Puma Sportstyle,"- Puma Palermo Lth ""Black""- Colour: Black / White- Stijlcode: 396464-03",EUR,79.95,Palermo Lth Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/palermo-lth-black,data/raw/sneakerbaas/category-unisex/images/puma sportstyle/palermo lth black,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/puma sportstyle/palermo lth black
Etonic,"- Etonic B481 BLACK ""Black""- Colour: White / Grey / Black- Stijlcode: ETM324601/03",EUR,129.95,B481 Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/b481-black-black-1,data/raw/sneakerbaas/category-unisex/images/etonic/b481 black,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/b481 black
Karhu,"- Karhu Legacy 96 ""Polar Night ""- Colour: Black / Blue- Stijlcode: F806056",EUR,139.95,Legacy 96 Polar Night ,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/legacy-96-polar-night,data/raw/sneakerbaas/category-unisex/images/karhu/legacy 96 polar night ,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/legacy 96 polar night 
Karhu,"- Karhu Fusion 2.0 ""Aventurine""- Colour: Multicolour- Stijlcode: F804149",EUR,149.95,Fusion 2.0 Aventurine,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/fusion-2-0-aventurine,data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 aventurine,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 aventurine
Karhu,"- Karhu Fusion 2.0 ""Polar Night ""- Colour: Blue / Grey / Black- Stijlcode: F804153 *These shoes run small, we recommend taking one size larger*",EUR,149.95,Fusion 2.0 Polar Night ,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/fusion-2-0-polar-night,data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 polar night ,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 polar night 
adidas Originals,"- adidas Originals Campus 2 ""Brown""- Colour: Brown / White- Stijlcode: IE4594",EUR,119.95,Campus 2 Brown,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/campus-2-brown,data/raw/sneakerbaas/category-unisex/images/adidas originals/campus 2 brown,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/adidas originals/campus 2 brown
Karhu,"- Karhu Fusion 2.0 ""Deep Lagoon""- Colour: White / Orange / Green- Stijlcode: F804150",EUR,149.95,Fusion 2.0 Deep Lagoon,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/fusion-2-0-deep-lagoon,data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 deep lagoon,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 deep lagoon
Etonic,"- Etonic B481 OFF WHITE ""Off White""- Colour: White / Cream / Grey- Stijlcode: ETM324601/02",EUR,129.95,B481 Off White,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/b481-off-white-off-white-1,data/raw/sneakerbaas/category-unisex/images/etonic/b481 off white,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/b481 off white
Etonic,"- Etonic THE DREAM LOW BLACK ""Black""- Colour: White / Black- Stijlcode: ETM324620/04",EUR,89.99,The Dream Low Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/the-dream-low-black-black,data/raw/sneakerbaas/category-unisex/images/etonic/the dream low black,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/the dream low black
New Balance,"- New Balance 550 ""Lilac""- Colour: White / Purple- Stijlcode: BBW550BV",EUR,139.95,550 Lilac,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/550-lilac,data/raw/sneakerbaas/category-unisex/images/new balance/550 lilac,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/new balance/550 lilac
adidas Originals,"- adidas Originals Gazelle Indoor W ""Soft Blue""- Colour: Blue / White- Stijlcode: HQ8717",EUR,129.95,Gazelle Indoor Blue,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/gazelle-indoor-w-soft-blue,data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle indoor blue,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle indoor blue
Etonic,"- Etonic KENDARI COLOR BLOCK LT BEIGE ""LT Beige""- Colour: Beige / White / Grey- Stijlcode: ETW322630/02",EUR,159.95,Kendari LT Beige,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/kendari-color-block-lt-beige-lt-beige,data/raw/sneakerbaas/category-unisex/images/etonic/kendari lt beige,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/kendari lt beige
Saucony Originals,"- Saucony Shadow 6000 ""Turquoise""- Colour: Blue / Yellow / White- Stijlcode: S60779-4",EUR,154.95,Shadow 6000 Turquoise,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/shadow-6000-turquoise,data/raw/sneakerbaas/category-unisex/images/saucony originals/shadow 6000 turquoise,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/saucony originals/shadow 6000 turquoise
Saucony,"- Saucony Shadow 6000 ""AsphaltGold""- Colour: Cream / Black / Green- Stijlcode: S70823-1",EUR,159.95,Shadow 6000 x AsphaltGold,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/shadow-6000-asphaltgold,data/raw/sneakerbaas/category-unisex/images/saucony/shadow 6000 x asphaltgold,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/saucony/shadow 6000 x asphaltgold
Karhu,"- Karhu Aria 95 ""Mulberry""- Colour: Beige / Grey / Purple- Stijlcode: F803107",EUR,139.95,Aria 95 Mulberry,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/aria-95-mulberry,data/raw/sneakerbaas/category-unisex/images/karhu/aria 95 mulberry,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/aria 95 mulberry
adidas Originals,"- adidas Originals Gazelle ""Blue Gum""- Colour: Navy / Blue / Brown- Stijlcode: IG4988",EUR,129.95,Gazelle Blue Gum,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/gazelle-blue-gum,data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle blue gum,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/adidas originals/gazelle blue gum
New Balance,"- New Balance 574 ""All Black""- Colour: Black- Stijlcode: ML574EVE",EUR,129.95,574 All Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/574-all-black,data/raw/sneakerbaas/category-unisex/images/new balance/574 all black,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/new balance/574 all black
Etonic,"- Etonic STABLE BASE NEW BLACK ""Black""- Colour: White / Grey / Black- Stijlcode: ETM323602/05",EUR,119.95,Stable Base Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/stable-base-new-black-black,data/raw/sneakerbaas/category-unisex/images/etonic/stable base black,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/stable base black
Karhu,"- Karhu Aria 95 ""Stormy Weather""- Colour: Blue / Black / Orange- Stijlcode: F803101",EUR,139.95,Aria 95 Stormy Weather,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/aria-95-stormy-weather,data/raw/sneakerbaas/category-unisex/images/karhu/aria 95 stormy weather,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/aria 95 stormy weather
Merrell,"- Merrel Moab Speed GTX ""Monument""- Colour: Grey - Stijlcode: J037770",EUR,129.95,Moab Speed GTX Monument,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/moab-speed-gtx-monument,data/raw/sneakerbaas/category-unisex/images/merrell/moab speed gtx monument,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/merrell/moab speed gtx monument
Karhu,"- Karhu Synchron Classic ""Iceberg Green / Lily White""- Colour: Green / Grey / White- Stijlcode: F802678",EUR,139.95,Synchron Iceberg Green,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/synchron-classic-iceberg-green,data/raw/sneakerbaas/category-unisex/images/karhu/synchron iceberg green,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/synchron iceberg green
Karhu,"- Karhu Fusion 2.0 ""Ultimate Grey / Iceberg Green""- Colour: Grey / Green / Blue- Stijlcode: F804152",EUR,149.95,Fusion 2.0 Ultimate Grey,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/fusion-2-0-ultimate-grey,data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 ultimate grey,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/fusion 2.0 ultimate grey
Etonic,"- Etonic B481 GRASS ""Grass""- Colour: White / Green- Stijlcode: ETM324600/03",EUR,129.95,B481 Grass,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/b481-grass-grass-1,data/raw/sneakerbaas/category-unisex/images/etonic/b481 grass,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/etonic/b481 grass
Karhu,"- Karhu Legacy 96 ""Iceberg Green / Lily White""- Colour: Green / Blue / White- Stijlcode: F806053",EUR,139.95,Legacy 96 Iceberg Green,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/legacy-96-iceberg-green-1,data/raw/sneakerbaas/category-unisex/images/karhu/legacy 96 iceberg green,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/karhu/legacy 96 iceberg green
PUMA Sportstyle,"- Puma Mirage Mox ""Puma White""- Colour: White/Green/Blue- Stijlcode: 37516706",EUR,39.99,Mirage Mox Puma White,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/mirage-mox-puma-white,data/raw/sneakerbaas/category-unisex/images/puma sportstyle/mirage mox puma white,s3://sneakers-ml/data/raw/sneakerbaas/category-unisex/images/puma sportstyle/mirage mox puma white
