brand,description,pricecurrency,price,title,collection_name,collection_url,url,images_dir,s3_dir
Nike,"- Nike Air Max 90 ""Black/White-Black""- Colour:   Black/White- Stijlcode:  DH8010-002",EUR,159.99,Air Max 90 Black  White,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/nike-air-max-90-black-white-black,data/raw/sneakerbaas/category-women/images/nike/air max 90 black  white,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/nike/air max 90 black  white
Veja,"- Veja V-10 B-MESH ""WHITE_NATURAL_PIERRE""- Colour: White / Grey- Stijlcode: VX0102499A",EUR,164.95,V-10 Mesh Pierre,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/v-10-b-mesh-white_natural_pierre-5,data/raw/sneakerbaas/category-women/images/veja/v-10 mesh pierre,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/veja/v-10 mesh pierre
Veja,"- Veja V-12 LEATHER ""XTR-WHT_PARME_MAGENTA""- Colour: White / Purple- Stijlcode: XD0203301A",EUR,134.95,V-12 Parme Magenta,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/v-12-leather-xtr-wht_parme_magenta-5,data/raw/sneakerbaas/category-women/images/veja/v-12 parme magenta,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/veja/v-12 parme magenta
Nike,"- Nike TC 7900 W ""Soft Pink""- Colour: Cream / Pink / Green- Stijlcode: DD9682-102",EUR,119.95,TC 7900 W Soft Pink,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/tc-7900-w-soft-pink,data/raw/sneakerbaas/category-women/images/nike/tc 7900 w soft pink,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/nike/tc 7900 w soft pink
Nike,"- Nike E-Series AD ""Sail""- Colour: Cream / Black- Stijlcode: DV8405-100",EUR,79.95,E-Series AD Sail,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/e-series-ad-sail,data/raw/sneakerbaas/category-women/images/nike/e-series ad sail,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/nike/e-series ad sail
Nike,"- Nike Air Huarache Craft ""Sesame/Sail-Pale Vanilla""- Colour: Beige / Cream / White- Stijlcode: DQ8031-201",EUR,129.95,Huarache Craft Sesame,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/air-huarache-craft-sesame-sail-pale-vanilla,data/raw/sneakerbaas/category-women/images/nike/huarache craft sesame,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/nike/huarache craft sesame
Nike,"- Nike Calm Slide ""Coral""- Colour: Red- Stijlcode: DX4816-800",EUR,49.95,Nike Calm Slide Coral,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/nike-calm-slide-coral,data/raw/sneakerbaas/category-women/images/nike/nike calm slide coral,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/nike/nike calm slide coral
Puma Sportstyle,"- Puma Palermo ""Green""- Colour: Green / Pink / gum- Stijlcode: 396463-02",EUR,89.95,Palermo Green,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/palermo-green,data/raw/sneakerbaas/category-women/images/puma sportstyle/palermo green,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/puma sportstyle/palermo green
Nike,"- Nike Air Max 97 Futura ""Plum Eclipse Burgundy Ash""- Colour: Purple / White- Stijlcode: FB4496-200",EUR,139.95,Air Max 97 Futura Plum,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/air-max-97-futura-plum-eclipse-burgundy-ash,data/raw/sneakerbaas/category-women/images/nike/air max 97 futura plum,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/nike/air max 97 futura plum
Nike,"- Nike Air Max 90 W ""White / Black""- Colour: White / Black- Stijlcode: DH8010-101",EUR,159.95,Air Max 90 W White,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/air-max-90-w-white-black,data/raw/sneakerbaas/category-women/images/nike/air max 90 w white,s3://sneakers-ml/data/raw/sneakerbaas/category-women/images/nike/air max 90 w white
