brand,description,pricecurrency,price,title,collection_name,collection_url,url,images_dir,s3_dir
Reebok Classics,"- Reebok Cardi B Club C V2 ""mars red""- Colour: Red- Stylecode: GX9735",EUR,24.99,Cardi B Club C Red,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/cardi-b-club-c-v2-mars-red,data/raw/sneakerbaas/category-kids/images/reebok classics/cardi b club c red,
adidas Originals,"- adidas Originals Hello Kitty Superstar 360 ""vivid red""- Colour: Red/White- Stijlcode: GY9213",EUR,24.99,Hello Kitty red,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/hello-kitty-superstar-360-vivid-red,data/raw/sneakerbaas/category-kids/images/adidas originals/hello kitty red,
Reebok Classics,"- Reebok CLUB C CARDI V2 ""ultima purple""- Colour: Blue/Purple- Stylecode: GX9737",EUR,24.99,CLUB C CARDI Purple,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/club-c-cardi-v2-ultima-purple-1,data/raw/sneakerbaas/category-kids/images/reebok classics/club c cardi purple,
adidas Originals,"- adidas Forum Low x André Saraiva ""ftwr white""- Colour: White/Blue- Stijlcode: HP6280",EUR,39.99,Forum Low x André Saraiva,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/forum-low-x-andre-saraiva-ftwr-white,data/raw/sneakerbaas/category-kids/images/adidas originals/forum low x andré saraiva,
Nike,"- Nike Air Max TW ""BLACK/WHITE-BLACK-WHITE""- Colour: Black / White / Grey- Stijlcode: DQ0296-001",EUR,59.95,Air Max TW,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/air-max-tw-black-white-black-white,data/raw/sneakerbaas/category-kids/images/nike/air max tw,
Nike,"- Nike Huarache Run GS ""Jade Ice""- Colour: Green / Pink / White- Stijlcode: 654275-305",EUR,89.95,Huarache Run GS Jade Ice,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/huarache-run-gs-jade-ice,data/raw/sneakerbaas/category-kids/images/nike/huarache run gs jade ice,
Reebok Classics,"- Reebok Classic CLUB C CARDI V2 ""cornflower blue""- Colour: Blue- Stylecode: GW9312",EUR,49.99,CLUB C CARDI Blue,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/club-c-cardi-v2-cornflower-blue-1,data/raw/sneakerbaas/category-kids/images/reebok classics/club c cardi blue,
Vans,"- Vans Sk8 Mid Reissue Kids ""Brown""- Colour: Brown / White / Pink- Stijlcode: VN0A5KROBF01",EUR,59.95,Sk8 Mid Kids Brown,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/sk8-mid-reissue-kids-brown,data/raw/sneakerbaas/category-kids/images/vans/sk8 mid kids brown,
adidas Originals,"- adidas Hello Kitty Superstar ""ftwr white""- Colour: White/Red- Stijlcode: GV8865",EUR,34.99,Hello Kitty Superstar White,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/hello-kitty-superstar-ftwr-white,data/raw/sneakerbaas/category-kids/images/adidas originals/hello kitty superstar white,
New Balance,"- New Balance 550 ""pink haze""- Colour: White/Pink- Stijlcode: GSB550CD",EUR,79.99,550 pink haze,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-20,data/raw/sneakerbaas/category-kids/images/new balance/550 pink haze,
New Balance,"- New Balance 550 ""Marina""- Colour: White / Blue / grey- Stijlcode: PSB550WA",EUR,99.95,550 PS Marina,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-12,data/raw/sneakerbaas/category-kids/images/new balance/550 ps marina,
New Balance,"- New Balance 550 ""Orange Sea""- Colour: White / Blue / Orange- Stijlcode: GSB550WB",EUR,109.95,550 Orange Sea,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-15,data/raw/sneakerbaas/category-kids/images/new balance/550 orange sea,
New Balance,"- New Balance 550 ""Marina""- Colour: White / Blue / grey- Stijlcode: GSB550WA",EUR,109.95,550 Marina,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-19,data/raw/sneakerbaas/category-kids/images/new balance/550 marina,
Nike,"- Nike Air Max TW ""WHITE/UNIVERSITY RED-WHITE-BLACK""- Colour: Red/White/Black- Stylecode: DQ0296-104",EUR,59.95,Air Max TW University Red,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/air-max-tw-white-university-red-white-black,data/raw/sneakerbaas/category-kids/images/nike/air max tw university red,
New Balance,- New Balance GSB550BB ''Black''- Colour: Black / Grey- Stijlcode: GSB550BB,EUR,109.95,550 BLACK,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-black,data/raw/sneakerbaas/category-kids/images/new balance/550 black,
Vans,"- Vans UY SK8-Hi Zip ""CMSW BLACK""- Colour: Black/camo-Stijlcode: VN0005VSBLK1M",EUR,49.99,UY SK8-Hi Zip CMSW BLACK,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/uy-sk8-hi-zip-cmsw-black,data/raw/sneakerbaas/category-kids/images/vans/uy sk8-hi zip cmsw black,
New Balance,"- New Balance 2002 ""TIMBERWOLF""- Colour: Brown/Beige- Stijlcode: GC2002SI",EUR,99.95,2002 TIMBERWOLF,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/2002-timberwolf,data/raw/sneakerbaas/category-kids/images/new balance/2002 timberwolf,
Nike,"- Nike Nike Huarache Run GS ""Dark Obsidian""- Colour: Grey / Black / White- Stijlcode: 654275-423",EUR,99.95,Huarache GS Obsidian,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/nike-huarache-run-gs-dark-obsidian,data/raw/sneakerbaas/category-kids/images/nike/huarache gs obsidian,
New Balance,"- New Balance 550 ""astro dust""- Colour: White/Red- Stijlcode: GSB550TF",EUR,79.99,550 astro dust,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-18,data/raw/sneakerbaas/category-kids/images/new balance/550 astro dust,
Reebok Classics,"- Reebok CLUB C CARDI V2 ""cornflower blue""- Colour: Blue- Stylecode: GX9734",EUR,34.99,CLUB C CARDI Blue,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/club-c-cardi-v2-cornflower-blue,data/raw/sneakerbaas/category-kids/images/reebok classics/club c cardi blue,
New Balance,"- New Balance 550 ""WHITE""- Colour: White/Pink- Stijlcode: PSB550CD",EUR,79.99,550 PINKWHITE,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-11,data/raw/sneakerbaas/category-kids/images/new balance/550 pinkwhite,
Nike,"- Nike Nike Blazer '77 ""Jade Ice""- Colour: White / Pink / Cream- Stijlcode: DZ2900-100",EUR,69.95,Nike Blazer 77 Jade Ice,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/nike-blazer-77-jade-ice,data/raw/sneakerbaas/category-kids/images/nike/nike blazer 77 jade ice,
New Balance,"- New Balance 550 ""Lavender""- Colour: White / Purple / Grey- Stijlcode: GSB550WK",EUR,109.95,550 Lavender,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-16,data/raw/sneakerbaas/category-kids/images/new balance/550 lavender,
Vans,"- Vans UY Old Skool ""LOGO BLKBU""- Colour: Blue/Black/Black-White checkers- Stijlcode: VN000W9TY611M",EUR,49.99,UY Old Skool LOGO BLKBU,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/uy-old-skool-logo-blkbu,data/raw/sneakerbaas/category-kids/images/vans/uy old skool logo blkbu,
New Balance,- New Balance GSB550WW ''White''- Colour: White- Stijlcode: GSB550WW,EUR,89.99,550 WHITE,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-14,data/raw/sneakerbaas/category-kids/images/new balance/550 white,
New Balance,"- New Balance 550 PS ""Lavender""- Colour: White / Grey / Purple- Stijlcode: PSB550WK",EUR,99.95,550 PS Lavender,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-6,data/raw/sneakerbaas/category-kids/images/new balance/550 ps lavender,
Jordan,"- Air Jordan 6 Retro GS ""WHITE/DUTCH BLUE-CITRON TINT-BLACK""- Colour: White / Blue / Yellow- Stijlcode: DM9045-100",EUR,99.99,Air Jordan 6 Retro GS Dutch Blue,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/air-jordan-6-retro-white-dutch-blue-citron-tint-black,data/raw/sneakerbaas/category-kids/images/jordan/air jordan 6 retro gs dutch blue,
New Balance,"- New Balance 2002 ""TIMBERWOLF""- Colour:  Beige/Creme/Brown- Stijlcode: GC2002SI",EUR,94.95,2002 TIMBERWOLF,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/2002-timberwolf-1,data/raw/sneakerbaas/category-kids/images/new balance/2002 timberwolf,
Nike,"- Nike Air Max Motif Next Nature ""WHITE/UNIVERSITY RED-PURE PLATINUM""- Colour: White/Red- Stijlcode: FJ4671-100",EUR,49.95,Air Max Motif UNIVERSITY RED,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/air-max-motif-next-nature-white-university-red-pure-platinum,data/raw/sneakerbaas/category-kids/images/nike/air max motif university red,
New Balance,"- New Balance 2002 ""ECLIPSE""- Colour: Blue/White- Stijlcode: PV2002SF",EUR,94.95,2002 ECLIPSE,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/2002-eclipse,data/raw/sneakerbaas/category-kids/images/new balance/2002 eclipse,
