brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Nike,LEBRON XX PREMIUM EP GUAVA ICEBRIGHT CRIMSON-BORDEAUX,"₹ 19,295.00",Nike,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FJ0724-801,"Nearly 2 decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. The LeBron XX (or LeBron 20) is unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.Smooth and ResponsiveThe large forefoot Zoom Air unit is curved to bend in multiple directions. It provides energy return for fast and responsive cornering and offers a flexible court feel that moves naturally with your foot. A bottom-loaded Zoom Air unit in the heel adds cushioning.Optimal SensationSoft, responsive, full-length foam helps you stay fresh and fast all game long.Breathable Up TopThe airy, breathable fabric on the upper is made of a dimensional knit mesh that’s lightweight, yet durable and contained.Sturdy and StrongA midfoot plate helps keep you steady and sturdy.More Details  Forefoot support wrap wedge Metal eyelets",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/lebron-xx-premium-ep-guava-ice-bright-crimson-bordeaux,data/raw/superkicks/men-basketball-sneakers/images/nike/lebron xx premium ep guava icebright crimson-bordeaux,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/nike/lebron xx premium ep guava icebright crimson-bordeaux,
Nike,SABRINA 1 SPARK EP OXYGEN PURPLEBLACK-LEMON CHIFFON,"₹ 10,795.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,FQ3389-501,"Sabrina Ionescu's game is unique, hard to define and built with an undeniable craft. Her signature shoe helps you unlock your versatility with a snappy forefoot Zoom Air and cloud-like React foam to help keep you energized. We used insights from next-gen athletes around the world to bring grippy, best-in-class traction, reliable midfoot support and stability to the court—which every hooper needs. Built for crafty players like Sabrina but made for anyone who's ready to put in the work to take their game to the next level. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.Behind the DesignSabrina can be the electrical charge needed to ignite a generation of current and future hoopers on the come up. This special look is infused with voltaic-like sparks of energy and electricity.Cut QuicklyAthletes around the world informed us on how to build the traction pattern on the outsole. The result? It helps you feel quick in and out of cuts. Feel the hardwood under your feet as you change direction on a dime.Stay FreshWe’ve paired a top-loaded forefoot Air Zoom unit with a full-length React foam core to deliver the ideal balance of stability, ground control and cushioning. The unstoppable combination meets at the intersection of speed and endurance, allowing you to play fast and dictate tempo without feeling depleted as the game rages on.Play with ConfidenceWe teamed the collar with a midfoot band system allows conformability and adjustability around the arch of your foot, all in the name of unlocking quick play and inspiring confidence on the court.Security Up TopThe collar offers optimal support with minimalism, giving you the support you need, without unnecessary ounces.Personal TouchWhenever Sabrina signs her autograph, she signs her name with a dot above her signature, true to her Romanian pronunciation. This detail, wrapped around her shoe, pays homage to the Ionescu family and the communities that helped push her to make playing pro ball possible.",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/sabrina-lonescu-sabrina-1-spark-ep-oxygen-purple-black-lemon-chiffon,data/raw/superkicks/men-basketball-sneakers/images/nike/sabrina 1 spark ep oxygen purpleblack-lemon chiffon,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/nike/sabrina 1 spark ep oxygen purpleblack-lemon chiffon,
Adidas Originals,RIVALRY LOW 86 SAND STRATACREAM WHITE,"₹ 12,999.00",Adidas,China,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IF5466,"MELLOW-VIBE ADIDAS SNEAKERS TO OUTFIT YOUR DAY. Stay style-game-ready every minute of the day. These adidas Rivalry sneakers provide a basketball-inspired look that's comfortable no matter what stands in your way. The textile upper is breathable and lightweight, while the rubber outsole adds durability and grip during those quick turns. Step into your day knowing you look great with these sneakers on your team.",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/rivalry-low-86-sand-strata-cream-white,data/raw/superkicks/men-basketball-sneakers/images/adidas originals/rivalry low 86 sand stratacream white,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/adidas originals/rivalry low 86 sand stratacream white,
Adidas Originals,FORUM MOD MID WHITECLAYPRELOVED YELLOW,"₹ 12,999.00",Adidas,China,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IE7121,"FORUM MOD MID SHOES MID-TOP SHOES MADE WITH RECYCLED AND VEGAN MATERIALS The adidas Forum like you've never seen it. This version of the iconic shoes pushes boundaries with expressive details and an all-new build. These distinguished trainers take on bold proportions with midfoot plugs and an extended midsole counter. The upper is part synthetic leather, part textile, and all vegan. And we haven't even mentioned all the fresh visual touches — like the net overlay on the 3-Stripes and the interplay of coloured panels. Yeah, these are sharp. To reduce our reliance on virgin materials, we make sure that our vegan alternatives also contain a minimum of 25% recycled content.",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/forum-mod-mid-white-clay-preloved-yellow,data/raw/superkicks/men-basketball-sneakers/images/adidas originals/forum mod mid whiteclaypreloved yellow,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/adidas originals/forum mod mid whiteclaypreloved yellow,
Nike,AIR FORCE 1 07 WHITEWHITE-BRONZINE,"₹ 9,695.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DV0788-104,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: ‘80s-inspired construction, bold details and nothin’-but-net style.From tough stitching to pristine leather, it delivers durable style that’s smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Rubber outsole with pivot circles adds traction and durability.Padded, low-cut collar looks sleek and feels great.",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/air-force-1-07-white-white-bronzine,data/raw/superkicks/men-basketball-sneakers/images/nike/air force 1 07 whitewhite-bronzine,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/nike/air force 1 07 whitewhite-bronzine,
Nike,LEBRON NXXT GEN EP BLUE TINTTEAL NEBULA-GUAVA ICE,"₹ 14,995.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DR8788-400,"Whether you’re a dunk contest-like leaper or a below-the-rim wonder roaming the baseline, feel faster, lower to the court and assured in the LeBron NXXT Gen. We specifically tailored it to meet the demands of today’s fast-paced game, so that you can stay ahead of the opposition with your speed and force in all directions.Akron-InspiredThe multidirection traction pattern is a map of Akron, an ode to LeBron's roots and the city he continues to pour into.Smooth and ResponsiveThe large forefoot Zoom Air unit is curved to bend in multiple directions. It provides energy return for fast and responsive cornering and offers a flexible court feel that moves naturally with your foot. A top-loaded Zoom Air unit in the heel adds cushioning.Enhanced SensationThe foam in the midsole feels soft and smooth while keeping you low to the ground and enhancing the sensation of court feel.This version is made for outdoor court use with its extra-durable rubber outsole.Open-hole mesh on the upper is lightweight and durable.More Details  Alternate colors on left shoe and right shoe Graphic sublimation on insole",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/lebron-nxxt-gen-ep-blue-tint-teal-nebula-guava-ice,data/raw/superkicks/men-basketball-sneakers/images/nike/lebron nxxt gen ep blue tintteal nebula-guava ice,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/nike/lebron nxxt gen ep blue tintteal nebula-guava ice,
Jordan,AIR JORDAN 11 RETRO LOW IE BLACKBLACK-WHITE,"₹ 16,995.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,919712-001,LEGENDARY LOOK.The Air Jordan 11 Retro Low IE Shoe offers a fresh take on one of the most beloved Jordan designs ever. It's built with lightweight and breathable materials. Full-length Air cushioning combines with premium details for the ultimate fusion of style and comfort.Real and synthetic leather and textile material in the upper for durability.Full-length Air-Sole unit provides soft cushioning.Lightweight composite midsole component provides stability.Rubber outsole features a modified herringbone traction pattern.,men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/air-jordan-11-retro-low-ie-black-black-white,data/raw/superkicks/men-basketball-sneakers/images/jordan/air jordan 11 retro low ie blackblack-white,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/jordan/air jordan 11 retro low ie blackblack-white,
Jordan,AIR JORDAN 1 ZOOM CMFT 2 BROWNGOLD,"₹ 13,295.00",Nike,Indonesia,Nike India Pvt. Ltd.,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DV1307-180,"Premium suede and Jordan Brand's signature Formula 23 foam come together to give you an extra luxurious (and extra cosy) AJ1. You don't need to play ""either or"" when it comes to choosing style or comfort with this one—which is nice, 'cause you deserve both.",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/air-jordan-1-zoom-cmft-2-brown-gold,data/raw/superkicks/men-basketball-sneakers/images/jordan/air jordan 1 zoom cmft 2 browngold,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/jordan/air jordan 1 zoom cmft 2 browngold,
Adidas Originals,RIVALRY LOW 86 WHITEGREENCREAM,"₹ 12,999.00",Adidas,China,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IG3040,"MELLOW-VIBE ADIDAS SNEAKERS TO OUTFIT YOUR DAY. Stay style-game-ready every minute of the day. These adidas Rivalry sneakers provide a basketball-inspired look that's comfortable no matter what stands in your way. The textile upper is breathable and lightweight, while the rubber outsole adds durability and grip during those quick turns. Step into your day knowing you look great with these sneakers on your team.",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/rivalry-low-86-white-green-cream,data/raw/superkicks/men-basketball-sneakers/images/adidas originals/rivalry low 86 whitegreencream,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/adidas originals/rivalry low 86 whitegreencream,
Reebok,HURRIKAZE II FTWR WHITECORE BLACKGLEN GREEN,"₹ 10,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,100033879,"One of the most eye-catching styles of the '90s is back, remixed with modern materials. These men's Reebok shoes have a nubuck and suede upper with eye-catching color contrast. Rock them to meet up some friends and show you've got that hoops DNA.",men-basketball-sneakers,https://www.superkicks.in/collections/men-basketball-sneakers,https://www.superkicks.in/products/hurrikaze-ii-ftwr-white-core-black-glen-green,data/raw/superkicks/men-basketball-sneakers/images/reebok/hurrikaze ii ftwr whitecore blackglen green,s3://sneakers-ml/data/raw/superkicks/men-basketball-sneakers/images/reebok/hurrikaze ii ftwr whitecore blackglen green,
