brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Vans,BOLD NI BLUE,"₹ 7,599.00",Cravatex Brands Limited,Philippines,Cravatex Brands Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,71002952,"New issue of ""BOLD"" (bold) released in the 1980s is reprinted. It features a T-shaped toe design seen in training shoes at the time and a thick surf line design that doubles as an eyestay for the shoelace. A paisley pattern reminiscent of a bandana.",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/bold-ni-blue,data/raw/superkicks/men-skateboard-sneakers/images/vans/bold ni blue,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/vans/bold ni blue,
Converse,RUN STAR HIKE PLATFORM ANIMALIER EGRETBLACKEGRET,"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A03729C,"Elevate your look in signature Chuck Taylor style with a fresh pair of platforms. Designed for standout style, the reimagined zebra prints pop against any outfit while a saw-tooth outsole ups the traction. Finished with a breathable mesh lining, they're equal parts comfortable and stylish.",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/run-star-hike-platform-animalier-egret-black-egret,data/raw/superkicks/men-skateboard-sneakers/images/converse/run star hike platform animalier egretblackegret,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/converse/run star hike platform animalier egretblackegret,
Converse,CHUCK 70 AT-CX BLACKEGRETBLACK,"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A03277C,"Transforming the best ever into a style icon of the future, the Chuck 70 AT-CX delivers elevation like never before. A cotton canvas upper and tongue get a lift from a chunky CX foam midsole and sockliner for exaggerated comfort. Classic Chuck 70 details like a star ankle patch, aluminum eyelets, and cotton laces keep up the heritage look, while a diamond lugged outsole delivers additional traction.",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/chuck-70-at-cx-black-egret-black,data/raw/superkicks/men-skateboard-sneakers/images/converse/chuck 70 at-cx blackegretblack,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/converse/chuck 70 at-cx blackegretblack,
Converse,CHUCK 70 AT-CX EARTH TONES DEEP SLEEPTIDEPOOL GREY,"₹ 7,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A02776C,"The Chuck 70 AT-CX combines heavyweight canvas with classic outdoor colors and CX comfort to keep up with the always wondering, always wandering creative explorer. Innovative CX foam cushioning provides next-level comfort for all-day exploration, while iconic Chuck 70 details gives you versatile style to go from city life, to the great outdoors, and back. Rounded out with a durable toe cap and diamond lugged traction outsole for better grip. WHY YOU SHOULD BE DOWN  High-top shoe with heavyweight cotton canvas upper CX foam cushioning for all-day comfort Faux leather star ankle patch Injected Bosey toe cap for extra durability and diamond lugged outsole for added grip Premium Chuck 70 detailing, like premium laces and vintage license plate",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/chuck-70-at-cx-earth-tones-deep-sleep-tidepool-grey,data/raw/superkicks/men-skateboard-sneakers/images/converse/chuck 70 at-cx earth tones deep sleeptidepool grey,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/converse/chuck 70 at-cx earth tones deep sleeptidepool grey,
Converse,RUN STAR MOTION CX PLATFORM WHITEBLACKGUM HONEY,"₹ 7,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,171546C,"Reflecting the energy of city streets, the Run Star Motion's playful and distorted lines are built for future movement. Reimagined from the inside out, the elevated stance and lightweight CX foam midsole help bring next-level comfort to every stride. This edition is cleaner than ever, with a monocolor design that pairs easily with anything and everything in your wardrobe.  WHY YOU SHOULD BE DOWN  High-top platform sneaker, with a cotton canvas upper CX foam insole and lightweight phylon midsole help absorb impact Expressive lugged rubber forefoot and heel for standout traction New Converse colors to refresh your rotation Iconic Chuck Taylor ankle patch",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/run-star-motion-cx-platform-white-black-gum-honey,data/raw/superkicks/men-skateboard-sneakers/images/converse/run star motion cx platform whiteblackgum honey,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/converse/run star motion cx platform whiteblackgum honey,
Converse,CHUCK 70 VINTAGE CANVAS RHUBARB PIEBLACK,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A02767C,"The Chuck 70 is built off of the original 1970s design, with premium materials, extraordinary craftsmanship, and enhanced cushioning to keep you feeling good. The poly-canvas upper is joined by classic Chuck 70 details, like premium cotton laces, winged tongue stitching for reinforcement, and varnished egret foxing with vintage license plate. WHY YOU SHOULD BE DOWN  Low-top, premium sneaker with poly-canvas upper Vintage rubber heel plate ties in '70s heritage Glossy, rubber sidewall and premium cotton laces elevate the style Reinforced tongue stitching helps keep it in place OrthoLite insole helps keep it comfortable",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/chuck-70-vintage-canvas-rhubarb-pie-black,data/raw/superkicks/men-skateboard-sneakers/images/converse/chuck 70 vintage canvas rhubarb pieblack,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/converse/chuck 70 vintage canvas rhubarb pieblack,
Vans,STAPLE BOLD NI BLACKWHITE,"₹ 5,999.00",Cravatex Brands Limited,Vietnam,Cravatex Brands Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,71002936,"The Vans Staple Bold Ni is a reimagined archival product with modern updates. This low top lace-up shoe has a vintage feel with updated foxing tape, a revised T-toe shape design, tonal stitching, tongue label removal for a sleeker look, and an UltraCush™ Lite drop-in sockliner for elevated comfort.",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/staple-bold-ni-black-white,data/raw/superkicks/men-skateboard-sneakers/images/vans/staple bold ni blackwhite,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/vans/staple bold ni blackwhite,
Converse,WMNS RUN STAR LEGACY CX SEASONAL COLOR RUST PINK,"₹ 7,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00873C,"The latest iteration of the fan-favorite Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner help keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.  Details  High-top platforms with cotton canvas upper A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and canvas winged tongue for ease of entry Iconic Chuck Taylor All Star ankle patch",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/wmns-run-star-legacy-cx-seasonal-color-rust-pink,data/raw/superkicks/men-skateboard-sneakers/images/converse/wmns run star legacy cx seasonal color rust pink,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/converse/wmns run star legacy cx seasonal color rust pink,
Nike,DUNK HIGH RETRO SEMONARCHMONARCH-SAIL,"₹ 11,495.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DV7223-800,"Created for the hardwood but taken to the streets, the b-ball icon returns with crisp synthetic leather and retro colors. The classic design channels '80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.synthetic leather and textile upper softens and gains vintage character with wear.High-top collar, tongue shape and perforations on the toe box add an iconic look that stays true to the original.Rubber sole has a full cupsole stitch for exceptional durability.",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/dunk-high-retro-semonarch-monarch-sail,data/raw/superkicks/men-skateboard-sneakers/images/nike/dunk high retro semonarchmonarch-sail,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/nike/dunk high retro semonarchmonarch-sail,
Converse,RUN STAR MOTION CX PLATFORM BLACKWHITE,"₹ 7,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,172895C,"Forget what you knew about form. The Run Star Motion takes classic Converse DNA and pairs it with an ultra-modern, innovative midsole to completely redefine platform style. The fluid lines you saw on court in the early 2000s come through the platform midsole, blending sport with high fashion. This expressive, lugged base is fused with an organic cotton canvas upper that borrows the same stitching, laces, and vintage inner tongue logo as the iconic Chuck 70. All supported by a CX sockliner and CX foam midsole for lightweight, maximum comfort.  Details  Low-top, platform shoe with expressive lugged outsole and premium Chuck 70 detailing 100% organic cotton canvas upper Heel pods with ultra-expressive lugs define the style Classic Chuck 70 upper, including stitching, laces, eyelets, and vintage inner tongue logo CX foam midsole with sculpted, debossed pinstripe; CX sockliner for comfort",men-skateboard-sneakers,https://www.superkicks.in/collections/men-skateboard-sneakers,https://www.superkicks.in/products/run-star-motion-cx-platform-black-white,data/raw/superkicks/men-skateboard-sneakers/images/converse/run star motion cx platform blackwhite,s3://sneakers-ml/data/raw/superkicks/men-skateboard-sneakers/images/converse/run star motion cx platform blackwhite,
