brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Nike,AIR MAX 1 SC PHOTON DUSTWHITE-COOL GREY-NOISE AQUA,"₹ 13,995.00",Nike India Pvt. Ltd.,china,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FB9660-001,"Laidback and easy to style, this Air Max 1 delivers everything from Parisian flair (the original was inspired by French architecture) to seasonally-perfect colors to groundbreaking comfort. Premium leather adorns the wavy mudguard and Swoosh logo, while soft suede and airy underlays nod to the '87 original. It's timeless for a reason.Leather, textile and mesh combine for a durable construction that's breathable and comfortable to wear all day.Originally designed for running, the Max Air unit delivers lightweight cushioning with every step.Foam midsole adds cushioning to last.Rubber outsole provides traction and durability.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-max-1-sc-photon-dust-white-cool-grey-noise-aqua,data/raw/superkicks/men-sneakers/images/nike/air max 1 sc photon dustwhite-cool grey-noise aqua,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/nike/air max 1 sc photon dustwhite-cool grey-noise aqua,
Clarks Originals,WALLABEE CUP GREEN,"₹ 13,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26174037,"An iconic shoe to carry you through this season and many more, the beloved Wallabee returns in a mood-boosting mauve shade to energize your collection. Crafted with butter-soft suede for a premium feel, this iconic silhouette stays true to its design DNA with a chunky pebble crepe sole, waxy laces, and tonal logo fobs.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wallabee-cup-green,data/raw/superkicks/men-sneakers/images/clarks originals/wallabee cup green,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/clarks originals/wallabee cup green,
Converse,CHUCK TAYLOR ALL STAR CRUISE BLACKEGRETBLACK,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04689C,Super lightweight and oh-so-comfortable? Must be the Chuck Taylor All Star Cruise. Dress ‘em up or keep ‘em casual—these ‘90s-inspired faves bring that signature Converse touch to any adventure. PRODUCT DETAILS  A lightweight canvas upper for that classic Chucks look and feel EVA-injected outsole combines with a foam midsole for lightweight support OrthoLite cushioning helps provide optimal comfort Suede overlays along the eyelets add durability Extra-wide laces nod to skate style,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-cruise-black-egret-black,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star cruise blackegretblack,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star cruise blackegretblack,
Nike,JA 1 NRG EP LIME BLASTOIL GREEN-BLACK-HEMP,"₹ 10,795.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FV5562-300,"Ja Morant became the superstar he is today by repeatedly sinking jumpers on crooked rims, jumping on tractor tires and dribbling through traffic cones in steamy South Carolina summers. The Ja 1 is a testament to his rise. With Zoom Air, it supports bunny hops and hyper speed without sacrificing comfort, so that you can control your own destiny on the court. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.Behind the DesignJust when you think you're out of the game, and that you have nothing left to give, look down. These zombie-inspired Ja 1 shoes may just inspire you to come back from the dead and take the game into your own hands.Personal TouchJa’s signature, logo and jersey number are sketched in his own handwriting.Prepare for LiftoffA forefoot Zoom Air unit helps provide increased responsiveness and vertical acceleration. Plush cushioning in the midsole provides comfort when you come back to Earth after skying in the clouds.Stay SupportedA containment system and forefoot strap help keep your ankle and heel stable, so that you’re in control and supported whether you’re changing directions at high speeds, springing toward the rim, or staying in front of shifty ball-handlers on defense.Lightweight, breathable material on the upper helps keep your feet cool.Padded collar adds cushioning.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/ja-1-nrg-ep-lime-blast-oil-green-black-hemp,data/raw/superkicks/men-sneakers/images/nike/ja 1 nrg ep lime blastoil green-black-hemp,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/nike/ja 1 nrg ep lime blastoil green-black-hemp,
Converse,WMNS RUN STAR MOTION CX PLATFORM TORTOISE KHAKIOFF WHITE,"₹ 9,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04704C,"The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-run-star-motion-cx-platform-tortoise-off-white,data/raw/superkicks/men-sneakers/images/converse/wmns run star motion cx platform tortoise khakioff white,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/wmns run star motion cx platform tortoise khakioff white,
Converse,CHUCK TAYLOR ALL STAR LOW TOP DRAGON SCALE HUNTER GREEN,"₹ 3,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04548C,"Created in 1917 as a non-skid basketball shoe, the All Star was originally promoted for its superior court performance by basketball mastermind Chuck Taylor. But over the decades, something incredible happened: The sneaker, with its timeless silhouette and unmistakable ankle patch, was organically adopted by rebels, artists, musicians, dreamers, thinkers and originals.  Low top with cotton canvas upper OrthoLite cushioning for all-day comfort Expressive, on-trend colour palette Classic white foxing tape midsole with black pinstripes Iconic woven tongue label",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-low-top-dragon-scale-hunter-green,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star low top dragon scale hunter green,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star low top dragon scale hunter green,
Nike,P-6000 PREMIUM PHOTON DUSTKHAKI-LIGHT BONE-PALE IVORY,"₹ 10,795.00",Nike India Pvt. Ltd.,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FQ8243-025,"A mash-up of Pegasus sneakers past, the P-6000 takes early 2000s running to modern heights. Featuring mixed materials and sporty lines, it's the perfect blend of head-turning comfort. Plus, the foam midsole adds a lifted, track-inspired stance and unbelievable cushioning. This iteration has a Hangul Nike monogram on the heel—an ode to the creator of the Korean alphabet.Leather, mesh and synthetic overlays add durability and breathability.Throwback design draws on the Pegasus 25 and Pegasus 2006.Cushioned insole delivers a comfortable underfoot feel.Rubber outsole gives you traction that lasts.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/p-6000-premium-photon-dust-khaki-light-bone-pale-ivory,data/raw/superkicks/men-sneakers/images/nike/p-6000 premium photon dustkhaki-light bone-pale ivory,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/nike/p-6000 premium photon dustkhaki-light bone-pale ivory,
Puma,RS-X EFEKT MID GREYBLACK,"₹ 11,999.00",Puma,China,Puma India Pvt. Ltd.,0.95kg,shoe,1 Pair,Superkicks India Pvt. Ltd.,39075506,"The RS-X is back. The retro-futuristic silhouette of this sneaker returns with an improved aesthetic and chunky details, complete with nubuck and suede overlays. This combination creates a stunning look that shows off your stunning style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/rs-x-efekt-mid-grey-black,data/raw/superkicks/men-sneakers/images/puma/rs-x efekt mid greyblack,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/puma/rs-x efekt mid greyblack,
Clarks Originals,WALLABEE CUP BURGUNDY COMBI,"₹ 14,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26174512,"An iconic shoe to carry you through this season and many more, the beloved Wallabee returns in a mood-boosting mauve shade to energize your collection. Crafted with butter-soft suede for a premium feel, this iconic silhouette stays true to its design DNA with a chunky pebble crepe sole, waxy laces, and tonal logo fobs.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wallabee-cup-burgundy-combi,data/raw/superkicks/men-sneakers/images/clarks originals/wallabee cup burgundy combi,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/clarks originals/wallabee cup burgundy combi,
Jordan,ZION 3 PF MINT FOAMCONCORD-PSYCHIC PURPLE,"₹ 12,795.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DR0676-300,"Zion's third signature shoe celebrates the dedication he puts in to crafting his singular game. Packed with court-ready tech, it's designed for ballers who are masters of both land and air. Stay low and contained, explode skyward, with a cushioned return to earth. The Zion 3 helps hold you down—so you can fly your own way.Lateral ActionSide to side, left to right. Traction on the outsole helps you grip the court with every step, and a foam carrier in the midsole adds support for your ankle and heel.Up Fast, Down HardNike Air helps you get those powerful ups when you blast off the court—and adds cushioning on reentry.Get LowFor improved ground feel, we dropped in some Formula 23 foam. It's soft and responsive underfoot, helping you stay low in your movements.More Details  PF edition designed to run wide for play on outdoor courts.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/zion-3-pf-mint-foam-concord-psychic-purple,data/raw/superkicks/men-sneakers/images/jordan/zion 3 pf mint foamconcord-psychic purple,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/jordan/zion 3 pf mint foamconcord-psychic purple,
