brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Adidas Originals,SUPERSTAR LUX WONDER BEIGEALUMINIUM,"₹ 14,999.00",Adidas India Pvt. Ltd.,Indonesia,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE2302,"RETRO TRAINERS CRAFTED FROM PREMIUM LEATHER. The adidas Superstar shoes have trekked across pitches, pavement, and stages — maybe next the red carpet? The classic silhouette gets a luxe upgrade with premium materials. The entire upper — right down to the signature shell toe — is crafted from soft premium leather, inside and out. Subtle monochrome panelling preserves all the classic design elements with an added air of elegance. The mellow palette adds versatility. Dress them up for formal functions or dress them down for everyday elegance — the choice is yours.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/superstar-lux-wonder-beige-aluminium,data/raw/superkicks/men-sneakers/images/adidas originals/superstar lux wonder beigealuminium,,
Converse,WMNS CHUCK TAYLOR ALL STAR LIFT TORTOISE LOW TOP MAGIC MAGIC PEACOCKEGRETTAWNY OWL,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A05288C,"Some things never go out of style, like tortoise print and a fresh pair of platform Chucks. Now you can have both. These low-tops feature hits of tortoise shell print for an effortlessly trendy look. Dress 'em up, dress 'em down—you'll draw attention either way.  Details  Low-top platform shoe with 12oz cotton canvas upper OrthoLite cushioning for all-day comfort Tortoise shell hits for timeless style Tortoise-printed eyelets for an added pop Standard All Star license plate Elevation Height: 38mm",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-chuck-taylor-all-star-lift-tortoise-low-top-magic-magic-peacock-egret-tawny-owl,data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star lift tortoise low top magic magic peacockegrettawny owl,,
Adidas Originals,SUPERSTAR MAROONWONDER WHITEWHITE,"₹ 11,999.00",Adidas,Indonesia,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IF8071,"SIGNATURE SHOES WITH A NEW TAKE ON THE TREFOIL. Cultural icon. Timeless must-have. Whatever you call the adidas Superstar shoes, you know they never go out of style. This release gives the Trefoil fresh perspective with an embossed detail on the tongue outlined for a high-contrast look. The confident look keeps going with a colourblocked design that stands out and adds the perfect punch to any casual outfit (dressy ones, too). A smooth leather upper looks luxe and feels great, and the rubber outsole rounds out the silhouette.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/superstar-maroon-wonder-white-white,data/raw/superkicks/men-sneakers/images/adidas originals/superstar maroonwonder whitewhite,,
Nike,DUNK LOW RETRO PREMIUM OIL GREENOLIVE AURA-PHANTOM,"₹ 9,695.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,shoe,1 Pair,Superkicks India Pvt. Ltd.,FB8895-300,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flare. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort.Upper ages to soft perfection and features a durable construction reminiscent of '80s b-ball.Foam midsole offers lightweight, responsive cushioning.Rubber outsole with classic hoops pivot circle adds durability, traction, and heritage style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/dunk-low-retro-premium-oil-green-olive-aura-phantom,data/raw/superkicks/men-sneakers/images/nike/dunk low retro premium oil greenolive aura-phantom,,
Nike,BLAZER MID 77 PREMIUM SUMMIT WHITEBLACK-LIGHT SILVER,"₹ 9,695.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DZ2542-100,"Styled for the ‘70s. Loved in the ‘80s. Classic in the ‘90s. Ready for the future. The Blazer Mid delivers a timeless design that’s easy to wear, with a two-tone design and split logos referencing the past and present of Nike. Exposed foam on the tongue and a special midsole finish make it look like you’ve just pulled them from the history books. Go ahead—perfect your outfit.Textured leather ages to soft perfection.Originally designed for performance hoops, the durable construction, tough stitching and easy-entry lacing delivers comfort that lasts.Vulcanized construction fuses the sole to the upper for a flexible, broken-in feel.Solid rubber outsole with herringbone pattern adds durable traction and heritage style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/blazer-mid-77-premium-summit-white-black-light-silver,data/raw/superkicks/men-sneakers/images/nike/blazer mid 77 premium summit whiteblack-light silver,,
Converse,CHUCK TAYLOR ALL STAR BLUELIGHT BLUE,"₹ 3,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04545C,"Just in time for fall weather, your favorite Chucks get a fresh look for the season. Fall-ready canvas in trending colors help you add effortless style to your rotation. These easy-to-wear, expressive Chucks are yours to style however you want.  Low top with cotton canvas upper. OrthoLite cushioning for all-day comfort. Expressive, on-trend color palette. Classic white foxing tape midsole with black pinstripes. Iconic woven tongue label.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-blue-light-blue,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star bluelight blue,,
Jordan,AIR JORDAN 13 RETRO WHITEWHEAT,"₹ 19,295.00",Nike India Pvt. Ltd.,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,414571-171,"TRUE TO FORM.The Air Jordan 13 Retro brings back the memorable game shoe that Michael Jordan wore during the '97-98 season, all the way to his 6th championship title. All the classic details are there like the quilted overlay, iconic sculpted midsole and holographic eye.Genuine leather and textile materials in the upper.Phylon midsole with encapsulated Zoom Air unit in the forefoot and heel.Rubber outsole pods are strategically placed to optimize traction and flexibility.More Details  Not intended for use as Personal Protective Equipment (PPE)",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-jordan-13-retro-white-wheat,data/raw/superkicks/men-sneakers/images/jordan/air jordan 13 retro whitewheat,,
Converse,WMNS CHUCK TAYLOR ALL STAR MOVE PLATFORM BLACK,"₹ 4,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,568497C,"HER MOVE. You already know our high-topthat canvas upper, the diamond pattern outsole, and iconic ankle patch. We streamlined this classic silhouette for her and dropped it into an ultra-lightweight EVA cupsole, giving you the Chuck Taylor All Star Move. With extra comfort and height. There she goes.  High-top, platform sneaker with canvas upper Classic star ankle patch Beveled-edge eyelets for modern look EVA cushioning makes it lightweight Die-cut SmartFOAM sockliner for extra comfort",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/run-star-hike-canvas-platform-black,data/raw/superkicks/men-sneakers/images/converse/wmns chuck taylor all star move platform black,,
Nike,AIR FORCE 1 07 TRIPLE WHITE,"₹ 7,495.00",LOTUS FOOTWEAR ENTERPRISES LIMITED,India,Nike India Private Limited,0.95 KG,SHOE,1 Pair,SUPER KICKS INDIA PVT. LTD,CW2288-111,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball OG that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-triple-white-1,data/raw/superkicks/men-sneakers/images/nike/air force 1 07 triple white,,
Converse,RUN STAR LEGACY CX HIGH TOP CONVERSE UTILITY UTILITYEGRETWHITE,"₹ 8,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A06154C,"The latest iteration of the fan-favourite Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner help keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.  Details  High-top platform shoe with 12oz cotton canvas upper A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and tongue for ease of entry Iconic Chuck Taylor ankle patch Elevation Height: 49mm",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/run-star-legacy-cx-high-top-converse-utility-utility-egret-white,data/raw/superkicks/men-sneakers/images/converse/run star legacy cx high top converse utility utilityegretwhite,,
