brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Jordan,WMNS AIR JORDAN 2 RETRO LOW WHITEUNIVERSITY RED-BLACK-COCONUT MILK,"₹ 14,995.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FD4849-106,"Originally debuting in1986, the AJ2 was a sleek, pared-down version of its predecessor. This updated version keeps it in the family, with premium leather and classic Nike Air cushioning underfoot.Nike Air unit in the heel gives a nice bit of cushioning.Full-grain and synthetic leather gives a luxe durability.Rubber outsole provides everyday traction.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-2-retro-low-white-university-red-black-coconut-milk,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro low whiteuniversity red-black-coconut milk,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro low whiteuniversity red-black-coconut milk,
Adidas Originals,SUPERSTAR XLG TENNIS WHITESKY BLUE,"₹ 11,999.00",adidas India Marketing Private Ltd.,China,adidas India Marketing Private Ltd.,1.10 KG,Shoe,1 pair,Superkicks India Pvt. Ltd.,IF3003,"ICONIC SHOE UPDATED WITH A RAISED MIDSOLE. The adidas Superstar shoes have continued to showcase their timeless style since their introduction over 50 years ago. This pair takes classic design elements such as the toe box and 3-Stripes, and raises the midsole to add a touch of personality. The striking colors give you endless combinations that you can combine with your outfits.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/superstar-xlg-tennis-white-sky-blue,data/raw/superkicks/women-basketball-sneakers/images/adidas originals/superstar xlg tennis whitesky blue,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/adidas originals/superstar xlg tennis whitesky blue,
Nike,WMNS AIR JORDAN 1 RETRO HIGH OG VARSITY MAIZEGAME ROYAL-SAIL,"₹ 16,995.00",Nike,China,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,FD2596-700,"Game on! Inspired by MJ's high school days, this energetic colorway brings A+ energy to the streets. Bold bursts of Game Royal and Varsity Maize let you join the team in style, while subtly weathered leather ups the vintage appeal. Crafted details like the woven tongue label, hangtag and Wings logo add a premium boost to any 'fit. And the finishing touch? Nike Air cushioning underfoot lets you keep pace, so nothing holds you back from showing off your legendary look. Premium construction delivers comfort and iconic appeal. Encapsulated Nike Air-Sole unit in the heel gives you soft cushioning.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-1-retro-high-og-varsity-maize-game-royal-sail,data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air jordan 1 retro high og varsity maizegame royal-sail,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air jordan 1 retro high og varsity maizegame royal-sail,
Jordan,WMNS AIR JORDAN 1 MID SE BEACHCHERRYWOOD RED-SAIL,"₹ 11,895.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DR0501-200,"With these mid-top AJ1s, you don't have to choose a favorite color. Contrasting panels make these sneaks stand out, proving that every side is your good side. Durable leather up top and Air cushioning underfoot make 'em perfect for all-day wear—so lace up, and let the compliments roll in.  Leather upper and split outsole combine to keep the style going from top to bottom Nike Air technology absorbs impact for cushioning with every step. Solid rubber outsoles give you traction on a variety of surfaces.  Details  Extra set of white laces",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-1-mid-se-beach-cherrywood-red-sail,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 mid se beachcherrywood red-sail,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 mid se beachcherrywood red-sail,
Jordan,WMNS AIR JORDAN 2 RETRO SUMMIT WHITEGYM RED-MED SOFT PINK,"₹ 17,295.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,FB2372-100,"Crafted to the original '86 specs, this mellow AJ2 takes you back to simpler times. Dreamy colors evoke cotton candy clouds and evening hangs, and the mix of canvas and suede keeps the memories of summertime burning bright.Genuine and synthetic leather gives you style, structure and durability.Nike Air technology absorbs impact for cushioning with every step.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-2-retro-summit-white-gym-red-med-soft-pink,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro summit whitegym red-med soft pink,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro summit whitegym red-med soft pink,
Jordan,WMNS AIR JORDAN 3 RETRO WHITEVARSITY RED-LUCKY GREEN,"₹ 16,595.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,CK9246-136,"Set the gold standard with the Air Jordan 3. An all-time favorite, this fresh colorway adds to the legacy. Of course, a hangtag certifies your place on the team—and the elephant print detailing delivers a classic finish.More Details  Leather and synthetic leather materials in upper Foam midsole Rubber outsole",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-3-retro-white-varsity-red-lucky-green,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 3 retro whitevarsity red-lucky green,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 3 retro whitevarsity red-lucky green,
Nike,WMNS AIR FORCE 1 SHADOW WHITESUNDIAL-SIREN RED-PHOTON DUST,"₹ 11,895.00",Nike,China,Nike India Pvt. Ltd.,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DZ1847-100,"Everything you love about the AF1—but doubled! The Air Force 1 Shadow puts a playful twist on a hoops icon to highlight the best of AF1 DNA. With 2 eyestays, 2 mudguards, 2 backtabs and 2 Swoosh logos, you get a layered look with double the branding.Leather in the upper ages to soft perfection.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Featuring the same iconic shape as the original AF1, a slightly exaggerated midsole makes these sneakers instantly recognizable.Low-cut, padded collar looks sleek and feels great.Foam midsole and grooved outsole ensure the shoe is lightweight, flexible and comfortable.Rubber outsole with heritage hoops pivot circles adds durable traction.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-force-1-shadow-white-sundial-siren-red-photon-dust,data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 shadow whitesundial-siren red-photon dust,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 shadow whitesundial-siren red-photon dust,
Adidas,HELLO KITTY FORUM LOW W CORE BLACKBLISS PINK’,"₹ 7,999.00",adidas India Marketing Private Ltd.,VIETNAM,adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GW7167,"FORUM LOW SHOES ADIDAS X HELLO KITTY SHOES MADE IN PART WITH RECYCLED MATERIALS. What year is it? It feels like Y2K in these adidas Forum shoes featuring your favourite character, Hello Kitty! The retro B-ball design is decked out in polka dots and bright colours, plus a Hello Kitty key chain that dangles from the laces — a little reminder of the importance of friendship and love. So lace up, and enjoy all the good vibes. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.  Details   Regular fit Lace closure with hook-and-loop strap Synthetic upper Textile lining Rubber outsole Upper contains a minimum of 50% recycled content",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/hello-kitty-forum-low-w-core-black-bliss-pink,data/raw/superkicks/women-basketball-sneakers/images/adidas/hello kitty forum low w core blackbliss pink’,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/adidas/hello kitty forum low w core blackbliss pink’,
Nike,WMNS AIR FORCE 1 07 WHITEOBSIDIAN-UNIVERSITY RED-WOLF GREY,"₹ 9,695.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,FJ0710-100,"The radiance lives on in the Air Force 1 ’07, the b-ball original that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of style to make you shine.Durable leather in the upper softens and gains vintage character with wear.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Padded collar feels soft and comfortable.Rubber outsole with heritage pivot circles adds traction and durability.More Details  Foam midsole Perforations on toe Rubber outsole",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-force-1-07-white-obsidian-university-red-wolf-grey,data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 07 whiteobsidian-university red-wolf grey,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 07 whiteobsidian-university red-wolf grey,
Adidas Originals,WMNS NIZZA PLATFORM MID BLACK,"₹ 7,599.00",,,,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FY2783,"PLATFORM SNEAKERS INSPIRED BY '70S B-BALL STYLES. Chunky, but old-school. Take your vintage style to new heights in a pair of adidas Nizza shoes with a platform outsole. The retro upper looks great with all kinds of denim. And who doesn't appreciate a little extra height?",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/nizza-platform-mid-black,data/raw/superkicks/women-basketball-sneakers/images/adidas originals/wmns nizza platform mid black,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/adidas originals/wmns nizza platform mid black,
