brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Reebok,WMNS CLUB C EXTRA PURE GREYWHITE,"₹ 8,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE6679,EXTRA TALL REEBOK SHOES WITH EXTRA PERSONALITY Being extra is a good thing. These women's Club C Extra shoes prove it. An exaggerated platform midsole with a geometric design gives you an amplified look. Don't miss the outsole which has a 3D tennis racket effect. Subtle hits of iconic colour on the leather upper seal the deal.,women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-club-c-extra-pure-grey-white,data/raw/superkicks/women-classics-sneakers/images/reebok/wmns club c extra pure greywhite,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/reebok/wmns club c extra pure greywhite,
Reebok,CLASSIC LEATHER SEA SPRAY,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,GY2445,CLASSIC EVERYDAY SHOES WITH AN AGED LOOK There's something about a vintage look that draws up our fondest memories. These women's Reebok shoes channel that profound nostalgia with colours inspired by sun-washed court surfaces. They have a soft leather upper with detailed stitching. Subtle metallic hits of textured leather give it that patina look of a cherished keepsake.,women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/classic-leather-sea-spray,data/raw/superkicks/women-classics-sneakers/images/reebok/classic leather sea spray,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/reebok/classic leather sea spray,
Clarks Originals,WMNS WALLABEE BOOT GREEN,"₹ 14,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26168743,"Introducing your next new Wallabee Boot. Inspired by Japanese and American vintage style, subtle paisley prints are the perfect complement to retro-feel dusky green suede. Complete with a flexible construction to support every step, its natural crepe sole and signature fobs nod to our heritage profile.",women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-wallabee-boot-green,data/raw/superkicks/women-classics-sneakers/images/clarks originals/wmns wallabee boot green,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/clarks originals/wmns wallabee boot green,
Nike,WMNS AIR MAX 90 AMD PALE IVORYSUMMIT WHITE,"₹ 13,995.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DX9502-100,"Intertwining functionality with fashion, we're honouring Air Max Month with an AM90 inspired by the outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. 2-tone laces nod to traditional hiking boots, while the Waffle outsole and visible Nike Air keep the coveted '90s look you love. Where will your adventure take you?",women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-air-max-90-amd-pale-ivory-summit-white-1,data/raw/superkicks/women-classics-sneakers/images/nike/wmns air max 90 amd pale ivorysummit white,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/nike/wmns air max 90 amd pale ivorysummit white,
Nike,WMNS AIR MAX 90 SE METALLIC GOLD  METALLIC SILVER,"₹ 9,516.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DJ6208-100,"The heirloom of style—the Nike Air Max 90 SE stays true to its roots with its iconic Waffle outsole, stitched overlays and classic plastic accents. The metallic upper and shoewellery dubrae bring a triumphant look to your outfit.     Benefits  Originally designed for performance running, the Max Air unit in the heel adds unbelievable cushioning. Padded, low-top collar looks sleek and feels great Rubber Waffle outsole adds a heritage look, traction and durability. Stitched overlays and plastic accents on the heel and eyestays add durability, comfort and the iconic '90s look you love.",women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-air-max-90-se-metallic-gold-metallic-silver,data/raw/superkicks/women-classics-sneakers/images/nike/wmns air max 90 se metallic gold  metallic silver,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/nike/wmns air max 90 se metallic gold  metallic silver,
Adidas Originals,WMNS CAMPUS 00S SOLAR GREENCORE BLACK,"₹ 10,999.00",Adidas,Vietnam,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,HQ4409,"CLASSIC SHOES THAT WALK TO A NEW SET OF RULES. These adidas shoes don't just break the rules — they change them. With a fresh perspective on our Campus 80s colorways, these sneakers elevate the classic collegiate look with premium suede and faded ""shades of"" tones across the upper. The off-white midsole and signature 3-Stripes nod to the OG look while zigzag laces and Y2K branding usher in a fresh feel.",women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-campus-00s-solar-green-core-black,data/raw/superkicks/women-classics-sneakers/images/adidas originals/wmns campus 00s solar greencore black,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/adidas originals/wmns campus 00s solar greencore black,
Nike,WMNS AIR MAX 90 FUTURA SOFT PINK,"₹ 12,795.00",Nike India Pvt. Ltd.,,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DM9922-104,"The Nike Air Max 90 Futura reimagines the icon of Air through your eyes—from design to testing to styling. Sawtooth edging around the toe and a partially floating Swoosh deliver skillfully crafted luxury. Plush padding around the ankle mixes with trusted Air cushioning to bring you first-class comfort. It's playful, comfortable, sporty and whatever else you want it to be.  Airloom Refreshed Techy details like molded plastic on the heel and eyestays pair with traditional suede and textile for a visual clash that adds new depth to the classic look you love. The floating Swoosh, sawtooth edging and exposed stitching further refresh your icon of Air. Tried and True Originally designed for performance running, Air Max cushioning delivers time-tested comfort. Padded, low-top collar looks sleek and feels great. Rubber Waffle outsole adds a heritage look, traction and durability. Super plush midsole keeps the comfort and '90s look you love.  More Details  Pull tabs on heel and tongue",women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-air-max-90-futura-soft-pink,data/raw/superkicks/women-classics-sneakers/images/nike/wmns air max 90 futura soft pink,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/nike/wmns air max 90 futura soft pink,
Reebok,WMNS CLASSIC LEATHER SOFT ECRU,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,GY2446,CLASSIC EVERYDAY SHOES WITH AN AGED LOOK There's something about a vintage look that draws up our fondest memories. These women's Reebok shoes channel that profound nostalgia with colors inspired by sun-washed court surfaces. They have a soft leather upper with detailed stitching. Subtle metallic hits of textured leather give it that patina look of a cherished keepsake.,women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-classic-leather-soft-ecru,data/raw/superkicks/women-classics-sneakers/images/reebok/wmns classic leather soft ecru,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/reebok/wmns classic leather soft ecru,
Reebok,WMNS CLASSIC LEATHER SP EXTRA SEA SPRAY,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,HQ7187,"PLATFORM-STYLE SHOES THAT EMBRACE COMMUNITY SPIRIT Inspired by outdoor murals at rec centers, these women's Reebok shoes add subtle neon details to liven up your look. They have a custom sockliner full of colorful, asymmetrical lines to represent the artistry of local communities.",women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-classic-leather-sp-extra-sea-spray,data/raw/superkicks/women-classics-sneakers/images/reebok/wmns classic leather sp extra sea spray,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/reebok/wmns classic leather sp extra sea spray,
Clarks Originals,WMNS DESERT BOOT BROWN,"₹ 12,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26168784,"Inspired by Japanese and American vintage style, subtle paisley prints bring this vibrant Desert Boot to life - the perfect complement to retro-feel brick red and dusky green suedes.",women-classics-sneakers,https://www.superkicks.in/collections/women-classics-sneakers,https://www.superkicks.in/products/wmns-desert-boot-brown,data/raw/superkicks/women-classics-sneakers/images/clarks originals/wmns desert boot brown,s3://sneakers-ml/data/raw/superkicks/women-classics-sneakers/images/clarks originals/wmns desert boot brown,
