brand,title,price,manufacturer,country_of_origin,imported_by,product_dimensions,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir
Converse,CHUCK TAYLOR ALL STAR LUGGED 2.0 DK SMOKE GREYBLACKEGRET,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A01368C,"These lugged platforms come ready to take on the season, with an upper made from cotton canvas and a breathable mesh lining. Now with a taller rubber sidewall for added protection and bold, chevron-inspired tread for style and stability. New, earthy colors keep the design grounded in nature and ready to be styled.  WHY YOU SHOULD BE DOWN  High-top sneaker-boot with cotton canvas upper OrthoLite cushioning for all-day comfort A mesh lining for breathability Lugged rubber outsole with chevron-inspired tread for enhanced traction Iconic Chuck Taylor ankle patch",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-lugged-2-0-dk-smoke-grey-black-egret,data/raw/superkicks/women-skateboard-sneakers/images/converse/chuck taylor all star lugged 2.0 dk smoke greyblackegret,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/chuck taylor all star lugged 2.0 dk smoke greyblackegret
Converse,CHUCK TAYLOR ALL STAR LUGGED 2.0 MYSTIC ORCHIDBLACKEGRET,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A03701C,"READY TO TREAD. These lugged platforms come ready to take on the season, with an upper made from cotton canvas and a breathable mesh lining. Now with a taller rubber sidewall for added protection and bold, chevron-inspired tread for style and stability. New, earthy colours keep the design grounded in nature and ready to be styled.   WHY YOU SHOULD BE DOWN  High-top sneaker-boot with cotton canvas upper OrthoLite cushioning for all-day comfort A mesh lining for breathability Lugged rubber outsole with chevron-inspired tread for enhanced traction Iconic Chuck Taylor ankle patch",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-lugged-2-0-mystic-orchid-black-egret,data/raw/superkicks/women-skateboard-sneakers/images/converse/chuck taylor all star lugged 2.0 mystic orchidblackegret,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/chuck taylor all star lugged 2.0 mystic orchidblackegret
Converse,RUN STAR LEGACY CX SEASONAL COLOR MONARCHBLACKEGRET,"₹ 7,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00853C,"The latest iteration of the fan-favorite Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner help keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/run-star-legacy-cx-seasonal-color-monarch-black-egret,data/raw/superkicks/women-skateboard-sneakers/images/converse/run star legacy cx seasonal color monarchblackegret,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/run star legacy cx seasonal color monarchblackegret
Converse,RUN STAR HIKE PLATFORM ANIMALIER EGRETBLACKEGRET,"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A03729C,"Elevate your look in signature Chuck Taylor style with a fresh pair of platforms. Designed for standout style, the reimagined zebra prints pop against any outfit while a saw-tooth outsole ups the traction. Finished with a breathable mesh lining, they're equal parts comfortable and stylish.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/run-star-hike-platform-animalier-egret-black-egret,data/raw/superkicks/women-skateboard-sneakers/images/converse/run star hike platform animalier egretblackegret,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/run star hike platform animalier egretblackegret
Converse,WMNS RUN STAR HIKE FUTURE METALS WHITESILVERGRAVEL,"₹ 5,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A01312C,"This Run Star Hike combines the iconic design elements you know and love with a lightweight molded platform and jagged lug soles. This edition takes it even further, with pearlescent rubber, gold accents and a metal-studded Chuck Taylor All Star patch.Details Platform sneaker with cotton canvas upper Comfortable OrthoLite cushioning Mesh lining for breathability Pearlized rubber outsole and metal accents Chuck Taylor All Star logo with 3D zinc studs and foil stamped details",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-run-star-hike-future-metals-white-silver-gravel,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns run star hike future metals whitesilvergravel,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns run star hike future metals whitesilvergravel
Nike,WMNS DUNK HIGH BLUE TINTLT SMOKE GREY-SUMMIT WHITE,"₹ 9,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DD1869-401,"BRINGING OLD SCHOOL BACK.Created for the hardwood but taken to the streets, the '80s b-ball icon returns with crisp leather and retro colors. The classic hoops design channels '80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.The crisp leather on the upper ages to soft perfection and features durable overlays reminiscent of '80s b-ball.The foam midsole offers lightweight, responsive cushioning.The padded, high-top collar adds an old school look that feels comfortable.The bold color-blocking features retro colors for added throwback vibes.The rubber outsole with classic hoops pivot circle adds durability, tractions and heritage style.More Details  High collar Foam insole Perforations on toe",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-high-blue-tint-lt-smoke-grey-summit-white,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high blue tintlt smoke grey-summit white,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high blue tintlt smoke grey-summit white
Converse,RUN STAR HIKE PLATFORM LEMON,"₹ 5,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A01365C,"A chunky platform and jagged rubber sole put an unexpected twist on your everyday Chucks. Details like an organic canvas build, rubber toe cap and Chuck Taylor ankle patch stay true to the original, while a molded platform, two-tone outsole and rounded heel give off futuristic vibes. WHY YOU SHOULD BE DOWN  Deatils  Organic canvas high top platform sneakers. OrthoLite insole for cushioning. Two-tone exaggerated outsole tread. Colorblocked design. Iconic Chuck Taylor ankle patch.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/run-star-hike-platform-lemon,data/raw/superkicks/women-skateboard-sneakers/images/converse/run star hike platform lemon,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/run star hike platform lemon
Nike,WMNS DUNK LOW WHITETEAM GREEN,"₹ 8,695.00",Nike,Indonesia,Nike India Pvt. Ltd.,,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DX5931-100,"All that shimmers isn't gold. Decked out in sumptuously smooth, satin-esque fabric, the Dunk Low is dressier than your average pair of sneakers but sporty enough to dress down. Its classic color combo nods to the sneaker's original Be True to Your School ad campaign, rooting your look to coveted off-court allure. As if you need any more reason to snag this pair. Ya game?Upper ages to soft perfection and features a durable construction reminiscent of '80s b-ball.Foam midsole offers lightweight, responsive cushioning.Rubber outsole with classic hoops pivot circle adds durable traction and heritage style.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-low-white-team-green,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low whiteteam green,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low whiteteam green
Converse,WMNS CHUCK TAYLOR ALL STAR LUGGED 2.0 WHITE,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00871C,"With a cotton canvas upper and a breathable mesh lining, these lugged platforms come ready to take on the season. A tall rubber sidewall offers added protection, plus bold, chevron-inspired tread for style and stability. Classic neutrals pair easily with anything and everything in your closet. WHY YOU SHOULD BE DOWN  High-top platform sneaker-boot with canvas upper OrthoLite cushioning for all-day comfort A mesh lining keeps it breathable Lugged rubber outsole with chevron-inspired tread for traction Iconic Chuck Taylor ankle patch",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-chuck-taylor-all-star-lugged-2-0-white,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star lugged 2.0 white,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star lugged 2.0 white
Converse,WMNS RUN STAR MOTION DUNEBLACKEGRET,"₹ 7,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00851C,"The unique design of the Converse Wmns Run Star Motion is defined by distorted and playful lines intended to reflect the energy of the city streets. The CX foam insole, the Phylon midsole and the raised seat ensure high wearing comfort. The upper is made of pure organic canvas, from which the rubber heel with the iconic star and the Chuck 70 detail clearly stand out.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-run-star-motion-dune-black-egret,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns run star motion duneblackegret,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns run star motion duneblackegret
