brand,description,pricecurrency,price,title,collection_name,collection_url,url,photos_path,s3_path
new balance,- New Balance GC2002BK ''Black''- Colour: Black / White- Stijlcode: GC2002BK,EUR,99.95,2002 BLACK,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/2002-black-1,data/sneakerbaas/category-kids/photos/new balance/2002 BLACK,
nike,"- NIKE AIR MAX 90 GS ""BLACK/HABANERO-SMOKE GREY-LT ""- Colour: Black/Red- Stijlcode: DX9272-001",EUR,89.99,Air Max 90 GS HABANERO,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/nike-air-max-90-gs-black-habanero-smoke-grey-lt,data/sneakerbaas/category-kids/photos/nike/Air Max 90 GS HABANERO,
vans,"- Vans UY Old Skool ""LOGO BLKBU""- Colour: Blue/Black/Black-White checkers- Stijlcode: VN000W9TY611M",EUR,49.99,UY Old Skool LOGO BLKBU,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/uy-old-skool-logo-blkbu,data/sneakerbaas/category-kids/photos/vans/UY Old Skool LOGO BLKBU,
new balance,"- New Balance 2002 ""TIMBERWOLF""- Colour: Brown/Beige- Stijlcode: GC2002SI",EUR,99.95,2002 TIMBERWOLF,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/2002-timberwolf,data/sneakerbaas/category-kids/photos/new balance/2002 TIMBERWOLF,
vans,"- Vans TD Old Skool V ""CTHR CHBD MB""- Colour: Blue/White- Stijlcode: VN0A38HDH7O1M",EUR,59.95,TD Old Skool BLUE,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/uy-old-skool-v-cthr-chbd-mblu,data/sneakerbaas/category-kids/photos/vans/TD Old Skool BLUE,
new balance,"- New Balance 530 ""White""- Colour: White/Pink- Stijlcode: GR530ZP M",EUR,89.99,530 White,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/530-white-1,data/sneakerbaas/category-kids/photos/new balance/530 White,
new balance,"- New Balance 550 PS ""Orange Sea""- Colour: White / Blue / Orange- Stijlcode: PSB550WB",EUR,99.95,550 PS Orange Sea,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-9,data/sneakerbaas/category-kids/photos/new balance/550 PS Orange Sea,
new balance,"- New Balance 550 ""Orange Sea""- Colour: White / Blue / Orange- Stijlcode: GSB550WB",EUR,109.95,550 Orange Sea,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-15,data/sneakerbaas/category-kids/photos/new balance/550 Orange Sea,
new balance,- New Balance PV2002BK ''Black''- Colour: Black / White- Stijlcode: PV2002BK,EUR,94.95,2002 BLACK,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/2002-black,data/sneakerbaas/category-kids/photos/new balance/2002 BLACK,
nike,"- Nike Air Max TW ""BLACK/WHITE-BLACK-WHITE""- Colour: Black / White / Grey- Stijlcode: DQ0296-001",EUR,69.95,Air Max TW,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/air-max-tw-black-white-black-white,data/sneakerbaas/category-kids/photos/nike/Air Max TW,
adidas originals,"- adidas Forum Low x André Saraiva ""ftwr white""- Colour: White/Blue- Stijlcode: HP6280",EUR,39.99,Forum Low x André Saraiva,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/forum-low-x-andre-saraiva-ftwr-white,data/sneakerbaas/category-kids/photos/adidas originals/Forum Low x André Saraiva,
new balance,"- New Balance 550 ""Lavender""- Colour: White / Purple / Grey- Stijlcode: GSB550WK",EUR,109.95,550 Lavender,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-16,data/sneakerbaas/category-kids/photos/new balance/550 Lavender,
nike,Stylecode: FN7788-100,EUR,49.99,Blazer Mid Next Nature White,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/blazer-mid-next-nature-white,data/sneakerbaas/category-kids/photos/nike/Blazer Mid Next Nature White,
