brand,description,pricecurrency,price,title,collection_name,collection_url,url,photos_path,s3_path
nike,"- Nike Air Huarache Runner ""Cargo Khaki White Medium Olive Sequoia""- Colour: Green / White- Stijlcode: DZ3306-300",EUR,139.99,Huarache Runner Cargo,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/air-huarache-runner-cargo-khaki-white-medium-olive-sequoia,data/sneakerbaas/category-men/photos/nike/Huarache Runner Cargo,
nike,"- Nike Air Huarache ""Black/White-Black""- Colour: Black / White- Stijlcode: DD1068-001",EUR,129.99,Air Huarache Panda,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/nike-air-huarache-black-white-black,data/sneakerbaas/category-men/photos/nike/Air Huarache Panda,
kangaroos,"- KangaROOS COIL R1 OG POP ""grey/green""- Colour: Grey / Black / Multi- Stijlcode: 601000-000-2601",EUR,139.95,Coil R1 OG Grey,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/coil-r1-og-pop-grey-green,data/sneakerbaas/category-men/photos/kangaroos/Coil R1 OG Grey,
mizuno,"- Mizuno Contender ""Blue Surf""- Colour: White / Blue- Stijlcode: D1GA2369-04",EUR,149.95,Contender Blue Surf,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/contender-blue-surf,data/sneakerbaas/category-men/photos/mizuno/Contender Blue Surf,
saucony,"- Saucony Shadow 6000 ""Green / Pink""- Colour: Green / Grey / Pink- Stijlcode: S70779-1",EUR,154.95,Shadow 6000 Grey  Green,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/shadow-6000-grey-green,data/sneakerbaas/category-men/photos/saucony/Shadow 6000 Grey  Green,
saucony,"- Saucony Grid Shadow 2 ""Green ""- Colour: Green / Mint / Black- Stijlcode: S70773-1",EUR,129.95,Grid Shadow 2 Green,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/grid-shadow-2-green,data/sneakerbaas/category-men/photos/saucony/Grid Shadow 2 Green,
veja,"- Veja V-12 LEATHER ""XTR-WHT_STEEL_NAUTICO""- Colour: White / Blue- Stijlcode: XD0203302B",EUR,154.95,V-12 Nautico,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/v-12-leather-xtr-wht_steel_nautico-6,data/sneakerbaas/category-men/photos/veja/V-12 Nautico,
kangaroos,- KangaROOS x Ghica Popa ''Spaceship''- Colour: Grey / Green / Multicolor- Stijlcode: 804004 000 9600,EUR,269.95,Ghica Popa Spaceship,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/ghica-popa-spaceship,data/sneakerbaas/category-men/photos/kangaroos/Ghica Popa Spaceship,
saucony,"- Saucony Grid Shadow 2 ""Cream / Red""- Colour: Red / Cream / Black- Stijlcode: S70773-2",EUR,109.95,Grid Shadow 2 Red,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/grid-shadow-2-cream-red,data/sneakerbaas/category-men/photos/saucony/Grid Shadow 2 Red,
nike,"- Nike Full Force Low ""Violet""- Colour: White / Black / Blue- Stijlcode: FB1362-100",EUR,99.95,Full Force Low Violet,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/full-force-low-violet,data/sneakerbaas/category-men/photos/nike/Full Force Low Violet,
kangaroos,"- KangaROOS AUSSIE Mono ""cream white""- Colour: Cream / White- Stijlcode:  47295-000-0014",EUR,129.95,Aussie Mono Cream,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/aussie-mono-cream-white,data/sneakerbaas/category-men/photos/kangaroos/Aussie Mono Cream,
nike,"- Nike Air Pegasus '89 ""Phantom Black Cargo Khaki""- Colour: Green / Orange / White- Stijlcode: FB8900-001",EUR,119.99,Air Pegasus 89 Cargo,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/air-pegasus-89-phantom-black-cargo-khaki,data/sneakerbaas/category-men/photos/nike/Air Pegasus 89 Cargo,
nike,"- Nike Tech Hera ""White Photon Dust""- Colour: White / Grey- Stijlcode: FJ9532-100",EUR,109.99,Tech Hera Photon Dust,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/tech-hera-white-photon-dust,data/sneakerbaas/category-men/photos/nike/Tech Hera Photon Dust,
nike,"- Nike Air Huarache Runner ""Black Medium Ash""- Colour: Black / Green- Stijlcode: DZ3306-002",EUR,139.99,Huarache Runner Ash,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/air-huarache-runner-black-medium-ash,data/sneakerbaas/category-men/photos/nike/Huarache Runner Ash,
nike,"- Nike Calm ""White""- Colour: Cream- Stijlcode: FD4116-100",EUR,49.99,Calm Slide Cream,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/calm-white,data/sneakerbaas/category-men/photos/nike/Calm Slide Cream,
sergio tacchini,- Sergio Tacchini BB Court Lo ''Miami''- Colour: White / Orange / Blue- Stijlcode: TSTU0004L_U023 3399,EUR,139.95,BB Court Lo Miami,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/bb-court-low-unknown-5,data/sneakerbaas/category-men/photos/sergio tacchini/BB Court Lo Miami,
vans,"- Vans Knu School ""Black""- Colour: Black / White- Stijlcode: VN0009QC6BT1",EUR,119.95,Knu School Black,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/knu-school-black,data/sneakerbaas/category-men/photos/vans/Knu School Black,
veja,"- Veja V-10 CWL ""WHITE_BLACK""- Colour: White / Black- Stijlcode: VX0702901B",EUR,164.95,V-10 White  Black,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/v-10-cwl-white_black-6,data/sneakerbaas/category-men/photos/veja/V-10 White  Black,
veja,"- Veja V-10 SUEDE ""CAMEL_CYPRUS-MULTICO""- Colour: Brown / Green / Beige- Stijlcode: VX0303293B",EUR,164.95,V-10 Cyprus,category-men,https://www.sneakerbaas.com/collections/sneakers/category-men,https://www.sneakerbaas.com/collections/sneakers/products/v-10-suede-camel_cyprus-multico-6,data/sneakerbaas/category-men/photos/veja/V-10 Cyprus,
