brand,description,pricecurrency,price,title,collection_name,collection_url,url,photos_path,s3_path
puma sportstyle,"- Puma Palermo Special ""Pink""- Colour: Pink / Green / Gum- Stijlcode: 397549-01",EUR,89.95,Palermo Special Pink,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/palermo-special-pink,data/sneakerbaas/category-women/photos/puma sportstyle/Palermo Special Pink,
nike,"- Nike Air Max Bliss ""Sail White""- Colour: Green / Yellow / Pink- Stijlcode: FB7170-111",EUR,139.99,Air Max Bliss Sail White,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/air-max-bliss-sail-white,data/sneakerbaas/category-women/photos/nike/Air Max Bliss Sail White,
nike,"- Nike Air Max 97 Futura ""Black Dark Obsidian""- Colour: Black- Stijlcode: FB4496-002",EUR,189.99,Air Max 97 Futura Black,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/air-max-97-futura-black-dark-obsidian,data/sneakerbaas/category-women/photos/nike/Air Max 97 Futura Black,
new balance,"- New Balance 550 ""Quartz Pink""- Colour: White / Navy / Red- Stijlcode: BBW550NP",EUR,139.99,550 Quartz Pink,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/550-sea-salt,data/sneakerbaas/category-women/photos/new balance/550 Quartz Pink,
nike,"- Nike Blazer Low '77 Jumbo ""Black/WhiteBlack-Team Orange""- Colour: Black / White- Stijlcode: DQ1470-002",EUR,99.99,Blazer Low Jumbo Black,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/blazer-low-77-jumbo-black-whiteblack-team-orange,data/sneakerbaas/category-women/photos/nike/Blazer Low Jumbo Black,
veja,"- Veja V-10 CWL ""WHITE_MARSALA""- Colour: White / Red / Cream- Stijlcode: VX0703279A",EUR,134.95,V-10 White Marsala,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/v-10-cwl-white_marsala-5,data/sneakerbaas/category-women/photos/veja/V-10 White Marsala,
sergio tacchini,"- Sergio Tacchini Y2K Runner ""Purple""- Colour: White / Purple / Black- Stijlcode: TSTU0014S_U016 3523",EUR,119.95,Y2K Runner W Purple,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/y2k-runner-unknown-3,data/sneakerbaas/category-women/photos/sergio tacchini/Y2K Runner W Purple,
veja,"- Veja DEKKAN ALVEOMESH ""GRAVEL_NAUTICO""- Colour:  Cream / Navy / White- Stijlcode: DC1803220A",EUR,174.95,Dekkan Alveo Nautico,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/dekkan-alveomesh-gravel_nautico-5,data/sneakerbaas/category-women/photos/veja/Dekkan Alveo Nautico,
nike,"- Nike Air Huarache Craft ""Black/Obsidian-anthracite""- Colour: Black / Blue / Grey- Stijlcode: DQ8031-003",EUR,129.99,Huarache Craft Obsidian,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/air-huarache-craft-black-obsidian-anthracite,data/sneakerbaas/category-women/photos/nike/Huarache Craft Obsidian,
nike,"- Nike Court Legacy Lift ""Black/Sail-White-Team Orange""- Colour: Black / White- Stijlcode: DM7590-001",EUR,84.99,Court Legacy Lift Black,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/court-legacy-lift-black-sail-white-team-orange,data/sneakerbaas/category-women/photos/nike/Court Legacy Lift Black,
veja,"- Veja V-10 B-MESH ""WHITE_NATURAL_PIERRE""- Colour: White / Grey- Stijlcode: VX0102499A",EUR,164.95,V-10 Mesh Pierre,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/v-10-b-mesh-white_natural_pierre-5,data/sneakerbaas/category-women/photos/veja/V-10 Mesh Pierre,
adidas originals,"- adidas Originals X_PLRBOOST PUFFER ""Grey""- Colour: Grey / Black / Pink- Stijlcode: ID1944",EUR,159.95,X_PLRBOOST Grey,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/x_plrboost-puffer-grey,data/sneakerbaas/category-women/photos/adidas originals/X_PLRBOOST Grey,
nike,"- Nike Court Vision Alta ""Pink Oxford/Pink Oxford-White""- Colour: Pink Oxford/Pink Oxford-White- Stijlcode: DM0113-600",EUR,89.99,Court Vision Alta Pink Oxford,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/court-vision-alta-pink-oxford-pink-oxford-white,data/sneakerbaas/category-women/photos/nike/Court Vision Alta Pink Oxford,
veja,"- Veja V-12 LEATHER ""XTR-WHT_PARME_MAGENTA""- Colour: White / Purple- Stijlcode: XD0203301A",EUR,134.95,V-12 Parme Magenta,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/v-12-leather-xtr-wht_parme_magenta-5,data/sneakerbaas/category-women/photos/veja/V-12 Parme Magenta,
nike,"- Nike Air Max 90 ""Black/White-Black""- Colour:   Black/White- Stijlcode:  DH8010-002",EUR,159.99,Air Max 90 Black  White,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/nike-air-max-90-black-white-black,data/sneakerbaas/category-women/photos/nike/Air Max 90 Black  White,
nike,"- Nike Air Max Bliss ""SAIL/CHILE RED-PHOTON DUST""- Colour: White/Red- Stylecode: DZ6754-101",EUR,99.99,Air Max Bliss Chile Red,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/air-max-bliss-sail-chile-red-photon-dust,data/sneakerbaas/category-women/photos/nike/Air Max Bliss Chile Red,
nike,"- Nike City Classic Boots ""Black""- Colour: Black / White- Stijlcode: DQ5601-001",EUR,89.95,City Classic Boots Black,category-women,https://www.sneakerbaas.com/collections/sneakers/category-women,https://www.sneakerbaas.com/collections/sneakers/products/city-classic-boots-black,data/sneakerbaas/category-women/photos/nike/City Classic Boots Black,
