brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,photos_path,s3_path,product_dimensions
Reebok,CLASSIC LEATHER BLUEORANGE,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,GY9747,"LEATHER SHOES WITH ASYMMETRICAL COLOUR INSPIRED BY THE REC CENTRE Bring it in for the win. Inspired by the community spirit of the rec centre, these Reebok Classic Leather shoes reflect the multiple sports played together on rec centre courts. Each shoe features a multi-colour design evoking the different team colours found inside the rec.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-leather-blue-orange,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC LEATHER BLUEORANGE,,
Adidas Originals,CAMPUS 80S NAVY,"₹ 10,999.00",adidas India Marketing Private Limited,Vietnam,adidas India Marketing Private Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ6153,"THESE SHOES PAY TRIBUTE TO THE TIMELESS CAMPUS DESIGN. An icon of adidas Originals. A favourite among subcultures and style pioneers. The Campus trainer has made an impact on culture with its low-key look and distinctively retro style. Honouring that legacy, this iteration of the shoes remains unchanged. It has a premium nubuck upper, a luxe leather lining, contrast 3-Stripes and a rubber outsole. All the details that Campus fans covet.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80s-navy,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80S NAVY,,
New Balance,2002R LIGHT CREAM PURPLE,"₹ 19,140.00",Brandman Retail Pvt. Ltd.,Vietnam,Brandman Retail Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,M2002RG,"A modern twist on 2000s running designs, the 2002RX men's sneaker will elevate your everyday style. This throwback silhouette is crafted with premium suede and mesh for a look that sets you apart and GoreTex technology that adds protection from the elements. Underfoot, ABZORB cushioning and Stability Web technology give you the support and comfort you need to power through your day.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/2002r-light-cream-purple,data/superkicks/men-classics-sneakers/photos/New Balance/2002R LIGHT CREAM PURPLE,,
Reebok,CLASSIC LEATHER LEGACY AZ BLUE,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,GY9796,"CLASSIC LEATHER LEGACY AZ SHOES INSPIRED BY TEAM COLOURS Lace up a deep cut from the '70s when you wear these Reebok shoes. Sharp, geometric lines level up your look. The colours and sockliner design are inspired by the community rec centre and take cues from the Union Jack. Get all the texture with a TPU clip and a mix of nylon, suede, and faux leather.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-leather-legacy-az-blue,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC LEATHER LEGACY AZ BLUE,,
Adidas Originals,CAMPUS 80S BURGUNDY,"₹ 7,149.00",adidas India Marketing Private Limited,Vietnam,adidas India Marketing Private Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ6152,"THESE SHOES PAY TRIBUTE TO THE TIMELESS CAMPUS DESIGN. An icon of adidas Originals. A favourite among subcultures and style pioneers. The Campus trainer has made an impact on culture with its low-key look and distinctively retro style. Honouring that legacy, this iteration of the shoes remains unchanged. It has a premium nubuck upper, a luxe leather lining, contrast 3-Stripes and a rubber outsole. All the details that Campus fans covet.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80s-burgundy,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80S BURGUNDY,,
Adidas Originals,GAZELLE BLACKYELLOW,"₹ 10,999.00",adidas India Marketing Private Ltd.,Vietnam,adidas India Marketing Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IG0669,"ICONIC SUEDE SNEAKERS INSPIRED BY THE 1991 ITERATION. With their classic suede design and plethora of effortless yet elevated styling options, Gazelle shoes feel more relevant today than ever. This iteration takes their inspiration from the 1991 version in an exact replica, featuring authentic materials, a T-toe design and a molded tongue. Step out in time-honored style.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/gazelle-black-yellow,data/superkicks/men-classics-sneakers/photos/Adidas Originals/GAZELLE BLACKYELLOW,,
Adidas Originals,CAMPUS 80 CROP CUSTOMIZEDCREAM WHITE,"₹ 10,999.00",Adidas,China,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,H03540,"THE FAMED CAMPUS 80 SNEAKERS, WITH A REMOVABLE OVERLAY. The adidas Campus 80 shoes have long been a figure in different subcultures. Basketball. Skate. Music. Fashion. While this version stays true to those roots, it also switches things up a bit with a hairy suede upper and a tearaway transparent overlay. The iconic serrated 3-Stripes remain the same.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80-crop-customized-cream-white,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80 CROP CUSTOMIZEDCREAM WHITE,,
Reebok,CLASSIC NYLON MORNING FOGWHITE,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IG7146,"OLD-SCHOOL SHOES REIMAGINED WITH A DESIGN INSPIRED BY HOPE Everyone has a right to life, liberty and security of person. Make this message known with these Classic Nylon shoes. Suede overlays throughout the upper give them a textured look and feel. You can rock them with a pair of jeans or leggings — on your way to meet a few friends for coffee or as your everyday sneakers while you go through your daily routine.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-nylon-morning-fog-white-1,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC NYLON MORNING FOGWHITE,,
Adidas Originals,CAMPUS BLACK,"₹ 10,999.00",adidas India Marketing Private Limited,Vietnam,adidas India Marketing Private Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GX7330,"THE FAMED ADIDAS CAMPUS SHOES DONE UP IN LUXE LEATHER. Created for the courts and adopted by a constellation of subcultures — the adidas Campus is a true icon. A mellow classic. These shoes have a premium leather upper matched by a smooth, comfortable leather lining.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-black,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS BLACK,,
Reebok,CLASSIC LEATHER CORE BLACK,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,GY0954,"RETRO-INSPIRED SHOES WITH A UNION JACK LOGO Clean, minimalist design keeps your look forever fresh. These Reebok Classic Leather Shoes update the iconic retro style. A supple leather upper and logos pulled from the archives give you trainers that always work, no matter what you pair them with.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/classic-leather-core-black,data/superkicks/men-classics-sneakers/photos/Reebok/CLASSIC LEATHER CORE BLACK,,
