brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,photos_path,product_dimensions
Puma,RS-X EFEKT 'MID GREY/BLACK',"₹ 11,999.00",Puma,China,Puma India Pvt. Ltd.,0.95kg,shoe,1 Pair,Superkicks India Pvt. Ltd.,39075506,"The RS-X is back. The retro-futuristic silhouette of this sneaker returns with an improved aesthetic and chunky details, complete with nubuck and suede overlays. This combination creates a stunning look that shows off your stunning style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/rs-x-efekt-mid-grey-black,data/superkicks/men-sneakers/photos/Puma/RS-X EFEKT 'MID GREY/BLACK',
Nike,AIR FORCE 1 '07 LV8 'LIGHT SILVER/BLACK-LIGHT SILVER-WHITE',"₹ 10,795.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DZ2522-001,"Torn between 2 looks? Not anymore—this AF1 gets a 2-toned treatment from tongue to sole. Split-color Swooshes and soles add just the right touch of interest, and mismatched branding on the tongue and backtab complete the look. And don't worry, it still delivers cushioned comfort and the classic AF1 look with era-echoing '80s construction, bold details and nothin'-but-net style. Step up in this elevated silhouette (literally and figuratively).From tough stitching to pristine materials to the cupsole design, it delivers durable style that’s smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Rubber outsole with hoops pivot circles adds durable traction and heritage style.Low-cut, padded collar looks sleek and feels great.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-lv8-light-silver-black-light-silver-white,data/superkicks/men-sneakers/photos/Nike/AIR FORCE 1 '07 LV8 'LIGHT SILVER/BLACK-LIGHT SILVER-WHITE',
Nike,P-6000 PREMIUM 'PHOTON DUST/KHAKI-LIGHT BONE-PALE IVORY',"₹ 10,795.00",Nike India Pvt. Ltd.,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FQ8243-025,"A mash-up of Pegasus sneakers past, the P-6000 takes early 2000s running to modern heights. Featuring mixed materials and sporty lines, it's the perfect blend of head-turning comfort. Plus, the foam midsole adds a lifted, track-inspired stance and unbelievable cushioning. This iteration has a Hangul Nike monogram on the heel—an ode to the creator of the Korean alphabet.Leather, mesh and synthetic overlays add durability and breathability.Throwback design draws on the Pegasus 25 and Pegasus 2006.Cushioned insole delivers a comfortable underfoot feel.Rubber outsole gives you traction that lasts.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/p-6000-premium-photon-dust-khaki-light-bone-pale-ivory,data/superkicks/men-sneakers/photos/Nike/P-6000 PREMIUM 'PHOTON DUST/KHAKI-LIGHT BONE-PALE IVORY',
Converse,CHUCK TAYLOR ALL STAR 'HUNTER GREEN',"₹ 4,299.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04544C,"Just in time for cooler weather, your favorite Chucks get a fresh look for the season. Fall-ready canvas in trending colors help you add standout style to your rotation. On those shorter days, why not add some color to your look?  High top with canvas upper. OrthoLite cushioning for all-day comfort. On-trend color palette. Durable polyester laces. Fused All Star patch.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-hunter-green,data/superkicks/men-sneakers/photos/Converse/CHUCK TAYLOR ALL STAR 'HUNTER GREEN',
Nike,KEVIN DURANT KD16 EP 'DEEP ROYAL/VIVID PURPLE-METALLIC SILVER',"₹ 13,995.00",Nike,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DV2916-401,"Kevin Durant is a true hooper. He'd be just as happy running pickup all afternoon as he would be dropping 40-pieces in the playoffs. When your avid appetite for the game can’t be satisfied, lace up in the KD16’s. Nike Air and Zoom Air work together to provide speed and stability for all four quarters, while the upper is lower and the overall load is lighter compared to the previous iteration. It's ideal for the hoopaholic who can’t say no to just one more game. This regal design pays homage to KD’s prominence as a player, a revered, king-making bucket-getter who just keeps getting better with each passing season. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.Emotional PathwayFrom injuries and insults to championships and reclamation of his rightful place in the basketball world, KD’s grown both as a player and person. The cloudy, purple haze represents the endured downs throughout his career that eventually helped make him stronger. The day-breaking blues signify his emotional range and clarity of mind that have brought him through it all.Cushion and ComfortA lightweight Nike Air unit at the bottom of the upper gives KD the cushioning and comfort he needs to thrive during a long season.High-Speed HavenKD loved the 15’s underfoot experience, so we took inspiration from the previous iteration and added a bottom-loaded forefoot Zoom Air unit for extra pop and snappiness when the game hits high speeds. Responsive full-length foam adds a soft, comfortable sensation.Groove and MoveGrooves and ridges in the sole help provide multidirectional traction and court feel. A stiff piece under the arch helps keep the shoe stable and help you smoothly transition from heel to toe.Broken-In FeelMultilayer mesh in the upper is lightweight and dimensional with a broken-in feel. Added thickness in strategic areas helps to keep your foot in place by reducing small movements.Like ClockworkThe outsole resembles watch gears, which represent the inner workings of KD and the methodical nature of how he operates.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/kevin-durant-kd16-ep-deep-royal-vivid-purple-metallic-silver,data/superkicks/men-sneakers/photos/Nike/KEVIN DURANT KD16 EP 'DEEP ROYAL/VIVID PURPLE-METALLIC SILVER',
Nike,AIR MAX FLYKNIT RACER 'BLACK/WHITE',"₹ 14,995.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DJ6106-001,"Paying homage to both heritage and innovation, we've blended 2 icons (old and new) to go beyond what's expected in the Nike Air Max Flyknit Racer. Incredibly light and airy Flyknit pairs with oh-so-comfy Air Max cushioning. Lace up and let your feet do the talking.Retro Super PowerInspired by the 2012 FK Racer, the featherweight, form-fitting Flyknit upper is as revolutionary as it is good looking. Plus, the nearly seamless design adds a sporty edge.Best Made BetterThe modernized look of the Pre-Day tooling fits perfectly with this mashup of heritage meets innovation. With its chiseled heel and expressive window around the Air Max cushioning (originally designed for performance running) it delivers a fresh take on tried-and-true comfort.Soft synthetic suede detailing adds a classic touch.Collar sculpts the ankle for a track-inspired look.Foam midsole delivers springy cushioning.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-max-flyknit-racer-black-white,data/superkicks/men-sneakers/photos/Nike/AIR MAX FLYKNIT RACER 'BLACK/WHITE',
Converse,CHUCK TAYLOR ALL STAR 'BROWN/BLACK',"₹ 3,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04547C,"Just in time for fall weather, your favorite Chucks get a fresh look for the season. Fall-ready canvas in trending colors help you add effortless style to your rotation. These easy-to-wear, expressive Chucks are yours to style however you want.  Low top with cotton canvas upper. OrthoLite cushioning for all-day comfort. Expressive, on-trend color palette. Classic white foxing tape midsole with black pinstripes. Iconic woven tongue label.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-brown-black-1,data/superkicks/men-sneakers/photos/Converse/CHUCK TAYLOR ALL STAR 'BROWN/BLACK',
Reebok,CLASSIC NYLON PLUS 'CREAM/RED',"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,ID1517,"Sneakers from the Reebok collection are made of a combination of genuine leather, suede and textile material. Lightweight and comfortable, ideal for everyday wear.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/classic-nylon-plus-cream-red,data/superkicks/men-sneakers/photos/Reebok/CLASSIC NYLON PLUS 'CREAM/RED',
Nike,AIR FORCE 1 '07 WB 'FLAX/WHEAT-GUM LIGHT BROWN-BLACK',"₹ 10,995.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,CJ9179-200,"ICONIC CUSHIONING AND DESIGN.The legend lives on in the Nike Air Force 1 '07 WB, a low-cut take on the iconic AF1 that offers classic court style and premium cushioning.A full-length Nike Air unit offers excellent impact absorption.A low-cut silhouette has a low-to-the-ground feel.Non-marking rubber in a sleek cupsole design gives traction and durability.Traditional laces offer a snug, secure fit.Perforations enhance ventilation.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-wb-flax-wheat-gum-light-brown-black,data/superkicks/men-sneakers/photos/Nike/AIR FORCE 1 '07 WB 'FLAX/WHEAT-GUM LIGHT BROWN-BLACK',
Converse,CHUCK TAYLOR ALL STAR 'BROWN/BLACK',"₹ 4,299.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04543C,"Just in time for cooler weather, your favorite Chucks get a fresh look for the season. Fall-ready canvas in trending colors help you add standout style to your rotation. On those shorter days, why not add some color to your look?  High top with canvas upper. OrthoLite cushioning for all-day comfort. On-trend color palette. Durable polyester laces. Fused All Star patch.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-brown-black,data/superkicks/men-sneakers/photos/Converse/CHUCK TAYLOR ALL STAR 'BROWN/BLACK',
