brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,photos_path,s3_path,product_dimensions
Reebok,CLASSIC NYLON PLUS CREAMRED,"₹ 7,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,ID1517,"Sneakers from the Reebok collection are made of a combination of genuine leather, suede and textile material. Lightweight and comfortable, ideal for everyday wear.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/classic-nylon-plus-cream-red,data/superkicks/men-sneakers/photos/Reebok/CLASSIC NYLON PLUS CREAMRED,,
Converse,RUN STAR LEGACY CX FUTURE COMFORT BEIGE,"₹ 8,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00868C,"The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.  High-top platforms with upper made from about 50% recycled cotton canvas A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and canvas winged tongue for ease of entry Premium laces and a faux leather patch elevate the design",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-run-star-legacy-cx-future-comfort-beige,data/superkicks/men-sneakers/photos/Converse/RUN STAR LEGACY CX FUTURE COMFORT BEIGE,,
Converse,CHUCK 70 AT-CX MONO BLACK,"₹ 7,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04582C,"This fall, the Chuck 70 AT-CX keeps it simple in mono. The colors may be toned-down, but the adventurous style is as bold as ever. With CX comfort and a trek-ready build inspired by retro hiking styles, the Chuck 70 AT-CX was designed for the always wondering, always wandering creative explorer.  High-top boot with 12oz polyester canvas upper. CX sockliner with a lightweight CX midsole for all-day comfort. Hiking boot inspired TPU Bosey toe for durability. Diamond lugged outsole for traction on a variety of surfaces. Durable cotton laces.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-at-cx-mono-black,data/superkicks/men-sneakers/photos/Converse/CHUCK 70 AT-CX MONO BLACK,,
Converse,CHUCK 70 PLUS HI BLACKEGRETBLACK,"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00916C,"The Converse Chuck 70 Plus Canvas is a convincing new edition of the Converse classic and features a futuristic, black and white design with iconic details, also in Women's with smaller sizes. Eye-catchers are the asymmetrical lines and the split rubber, which give the chuck an expressive look. The characteristic logo patch in the ankle area should not be missing. The OrthoLite® insole allows for an optimally cushioned and therefore very pleasant walking experience.  Textile upper Lacing system Textile lining Rubber outsole Ventilation holes Rubber toe cap Metal eyelets",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-plus-hi-black-egret-black,data/superkicks/men-sneakers/photos/Converse/CHUCK 70 PLUS HI BLACKEGRETBLACK,,
Puma,PUMA x PERKS AND MINI SUEDE VTG FRESH PEAR,"₹ 8,999.00",Puma,Indonesia,Puma India Pvt. Ltd.,0.95kg,Shoe,1 Pairs,Superkicks India Pvt. Ltd.,39476801,Back to the PAMPUMA island: The joint collaboration with Perks and Mini brings you back to the creative BIOVERSE. The new designs are made of robust materials and have light graphics and elements inspired by football. Like this version of the our Suede VTG sneakers. The vintage silhouette dons its signature suede upper for a look you can lounge in while on the island.,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/puma-x-perks-and-mini-suede-vtg-fresh-pear,data/superkicks/men-sneakers/photos/Puma/PUMA x PERKS AND MINI SUEDE VTG FRESH PEAR,,
Nike,DUNK LOW RETRO PREMIUM OIL GREENOLIVE AURA-PHANTOM,"₹ 9,695.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,shoe,1 Pair,Superkicks India Pvt. Ltd.,FB8895-300,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flare. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort.Upper ages to soft perfection and features a durable construction reminiscent of '80s b-ball.Foam midsole offers lightweight, responsive cushioning.Rubber outsole with classic hoops pivot circle adds durability, traction, and heritage style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/dunk-low-retro-premium-oil-green-olive-aura-phantom,data/superkicks/men-sneakers/photos/Nike/DUNK LOW RETRO PREMIUM OIL GREENOLIVE AURA-PHANTOM,,
Puma,RS-X EFEKT MID GREYBLACK,"₹ 11,999.00",Puma,China,Puma India Pvt. Ltd.,0.95kg,shoe,1 Pair,Superkicks India Pvt. Ltd.,39075506,"The RS-X is back. The retro-futuristic silhouette of this sneaker returns with an improved aesthetic and chunky details, complete with nubuck and suede overlays. This combination creates a stunning look that shows off your stunning style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/rs-x-efekt-mid-grey-black,data/superkicks/men-sneakers/photos/Puma/RS-X EFEKT MID GREYBLACK,,
Toms,RESIDENT INDIGO RIPSTOP INDIGO,"₹ 8,499.00",TOMS Shoes,China,V Retail Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,10020278,"Inspired by our bestselling Alpargata, the Alp Resident 2.0 brings comfort and durability together in one shoe. Now designed with an increased midsole height for extra flexibility and comfort, so you'll be ready for whatever the day brings.  Ripstop uppers. Total outsole height at heel is 1 1/4"". OrthoLite® Eco LT Hybrid™ insoles made with 26% eco content (15% waste foam, 5% recycled content & 6% bio-oils). New midsole height for extra comfort. EVA midsole with rubber sole. Vegan Elastic knit collar. Nubuck PU heel pull. TOMS is a proud member of the Fair Labor Association—working with suppliers that conduct their businesses ethically, engage with workers, ensure safe working conditions, and establish human rights compliance and social responsibility. When you buy TOMS, you help fund access to mental health resources for the millions of people who need them. Wear TOMS. WEAR GOOD.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/resident-indigo-ripstop-indigo,data/superkicks/men-sneakers/photos/Toms/RESIDENT INDIGO RIPSTOP INDIGO,,
Converse,CHUCK 70 CRAFTED OLLIE PATCH VARSITY RED,"₹ 6,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04499C,Get your hands on the Chuck 70 Crafted Ollie Patch from the best sneaker stockists around the world.    Canvas upper is lightweight and durable The timeless silhouette you know and love High profile for classic coverage Medial eyelets enhance airflow Classic All Star ankle patch,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-70-crafted-ollie-patch-varsity-red,data/superkicks/men-sneakers/photos/Converse/CHUCK 70 CRAFTED OLLIE PATCH VARSITY RED,,
Nike,SABRINA 1 SPARK EP OXYGEN PURPLEBLACK-LEMON CHIFFON,"₹ 10,795.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,FQ3389-501,"Sabrina Ionescu's game is unique, hard to define and built with an undeniable craft. Her signature shoe helps you unlock your versatility with a snappy forefoot Zoom Air and cloud-like React foam to help keep you energized. We used insights from next-gen athletes around the world to bring grippy, best-in-class traction, reliable midfoot support and stability to the court—which every hooper needs. Built for crafty players like Sabrina but made for anyone who's ready to put in the work to take their game to the next level. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.Behind the DesignSabrina can be the electrical charge needed to ignite a generation of current and future hoopers on the come up. This special look is infused with voltaic-like sparks of energy and electricity.Cut QuicklyAthletes around the world informed us on how to build the traction pattern on the outsole. The result? It helps you feel quick in and out of cuts. Feel the hardwood under your feet as you change direction on a dime.Stay FreshWe’ve paired a top-loaded forefoot Air Zoom unit with a full-length React foam core to deliver the ideal balance of stability, ground control and cushioning. The unstoppable combination meets at the intersection of speed and endurance, allowing you to play fast and dictate tempo without feeling depleted as the game rages on.Play with ConfidenceWe teamed the collar with a midfoot band system allows conformability and adjustability around the arch of your foot, all in the name of unlocking quick play and inspiring confidence on the court.Security Up TopThe collar offers optimal support with minimalism, giving you the support you need, without unnecessary ounces.Personal TouchWhenever Sabrina signs her autograph, she signs her name with a dot above her signature, true to her Romanian pronunciation. This detail, wrapped around her shoe, pays homage to the Ionescu family and the communities that helped push her to make playing pro ball possible.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/sabrina-lonescu-sabrina-1-spark-ep-oxygen-purple-black-lemon-chiffon,data/superkicks/men-sneakers/photos/Nike/SABRINA 1 SPARK EP OXYGEN PURPLEBLACK-LEMON CHIFFON,,
