brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,photos_path,s3_path,product_dimensions
Converse,CHUCK TAYLOR ALL STAR BLUE,"₹ 4,299.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,M9622C,"We could tell you that it's the OG basketball shoe, created over 100 years ago. Or that the design has largely stayed the same, because why mess with a good thing. Or how it became the unofficial sneaker of all your favorite artists and musicians, who each made it their own. Yeah, we could share a lot of stories, but the one that matters most isn't ours it's yours. It's how and where you take your Chucks. The legacy is long, but what comes next is up to you. We just make the shoe. You make the stories.  High-top sneaker with canvas upper. Iconic silhouette. Branded star ankle patch. OrthoLite insole for comfort. Diamond outsole tread.",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-blue,data/superkicks/women-sneakers/photos/Converse/CHUCK TAYLOR ALL STAR BLUE,,
Converse,WMNS RUN STAR LEGACY CX PERIWINKLE,"₹ 8,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04693C,"The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/wmns-run-star-legacy-cx-periwinkle,data/superkicks/women-sneakers/photos/Converse/WMNS RUN STAR LEGACY CX PERIWINKLE,,
Converse,CHUCK TAYLOR ALL STAR CRUISE MAUVE,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A06142C,"Introducing the latest in the Chuck Taylor legacy: the Chuck Taylor All Star Cruise. Designed to pay homage to counterculture fashion, they combine a classic canvas upper with skateboarding-inspired elements, such as a row of perforated suede eyelets. A dotted, layered midsole adds extra intrigue without losing sight of the signature Converse style.",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-cruise-mauve,data/superkicks/women-sneakers/photos/Converse/CHUCK TAYLOR ALL STAR CRUISE MAUVE,,
Converse,RUN STAR LEGACY CX FUTURE COMFORT BEIGE,"₹ 8,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00868C,"The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.  High-top platforms with upper made from about 50% recycled cotton canvas A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and canvas winged tongue for ease of entry Premium laces and a faux leather patch elevate the design",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/wmns-run-star-legacy-cx-future-comfort-beige,data/superkicks/women-sneakers/photos/Converse/RUN STAR LEGACY CX FUTURE COMFORT BEIGE,,
Converse,CHUCK 70 AT-CX MONO BLACK,"₹ 7,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04582C,"This fall, the Chuck 70 AT-CX keeps it simple in mono. The colors may be toned-down, but the adventurous style is as bold as ever. With CX comfort and a trek-ready build inspired by retro hiking styles, the Chuck 70 AT-CX was designed for the always wondering, always wandering creative explorer.  High-top boot with 12oz polyester canvas upper. CX sockliner with a lightweight CX midsole for all-day comfort. Hiking boot inspired TPU Bosey toe for durability. Diamond lugged outsole for traction on a variety of surfaces. Durable cotton laces.",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/chuck-70-at-cx-mono-black,data/superkicks/women-sneakers/photos/Converse/CHUCK 70 AT-CX MONO BLACK,,
Converse,CHUCK 70 PLUS HI BLACKEGRETBLACK,"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00916C,"The Converse Chuck 70 Plus Canvas is a convincing new edition of the Converse classic and features a futuristic, black and white design with iconic details, also in Women's with smaller sizes. Eye-catchers are the asymmetrical lines and the split rubber, which give the chuck an expressive look. The characteristic logo patch in the ankle area should not be missing. The OrthoLite® insole allows for an optimally cushioned and therefore very pleasant walking experience.  Textile upper Lacing system Textile lining Rubber outsole Ventilation holes Rubber toe cap Metal eyelets",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/chuck-70-plus-hi-black-egret-black,data/superkicks/women-sneakers/photos/Converse/CHUCK 70 PLUS HI BLACKEGRETBLACK,,
Nike,WMNS CORTEZ SESAMESAIL-WHITE,"₹ 7,495.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DN1791-200,"One word: tradition. From heritage running to fashion phenom, its retro appeal, sponge-soft midsole and see-saw detailing deliver decade after decade. This iteration offers easy-to-style colors with a vintage vibe.Inspired by the ’72 original, the foam midsole with iconic wedge insert delivers comfort from the get-go.Leather upper is easy to clean and easy to style.Rubber sole with herringbone pattern gives you plenty of traction.Padded, low-cut collar looks sleek and feels great.",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/wmns-cortez-sesame-sail-white,data/superkicks/women-sneakers/photos/Nike/WMNS CORTEZ SESAMESAIL-WHITE,,
Converse,WMNS RUN STAR MOTION CX PLATFORM TORTOISE KHAKIOFF WHITE,"₹ 9,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04704C,"The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/wmns-run-star-motion-cx-platform-tortoise-off-white,data/superkicks/women-sneakers/photos/Converse/WMNS RUN STAR MOTION CX PLATFORM TORTOISE KHAKIOFF WHITE,,
Converse,WMNS CHUCK 70 VINTAGE REMASTERED MYSTIC SKYEGRET MYSTIC SKY,"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04621C,"A textural takeover of your favorite sneaker, this edition of the best ever Chuck 70 reimagines the icon in fresh colors and fabrics. A woven, textile upper joins forces with a heavyweight cotton canvas tongue, while the signature toe cap and foxing get reimagined in leather. Complete with a color-blocked design and signature All Star ankle patch, it's your go-to shoe, made better. WHY YOU SHOULD BE DOWN  High-top shoe with woven poly-textile upper, 16oz cotton canvas tongue and backstay OrthoLite cushioning for all-day comfort Full-grain leather toe cap, toe bumper, and foxing tape for an elevated look and feel Outdoor-inspired colors refresh your rotation Iconic Chuck Taylor ankle patch",women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/wmns-chuck-70-vintage-remastered-mystic-sky-egret-mystic-sky,data/superkicks/women-sneakers/photos/Converse/WMNS CHUCK 70 VINTAGE REMASTERED MYSTIC SKYEGRET MYSTIC SKY,,
Jordan,WMNS AIR JORDAN 1 RETRO HIGH OG BLACKUNIVERSITY RED-WHITE,"₹ 16,995.00",Nike India Pvt. Ltd.,Indonesia,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FD4810-061,Satiny shine and iconic colors—that's a wardrobe-worthy combo. On a classic shoe. And in women's sizing for the first time. Need any more reasons to treat yourself? We didn't think so.Textile upper gives you a satiny take on the classic AJ1.Rubber outsole is durable and gives you traction on a variety of surfaces.Nike Air technology absorbs impact for cushioning with every step.More Details  Wings logo on collar Stitched-down Swoosh logo Nike Air label on tongue,women-sneakers,https://www.superkicks.in/collections/women-sneakers,https://www.superkicks.in/products/wmns-air-jordan-1-retro-high-og-black-university-red-white,data/superkicks/women-sneakers/photos/Jordan/WMNS AIR JORDAN 1 RETRO HIGH OG BLACKUNIVERSITY RED-WHITE,,
